,Unnamed: 0,Facility Number,School Type,School District or Name,County,MMR Vaccination Rate,Age Group,Facility Address
4634,4706,1.40201E+11,Public School,AMHERST CENTRAL HS,Erie,100.0,,4301 MAIN ST
4635,4707,020801040000,School District,BELFAST CENTRAL SCHOOL DISTRICT,Allegany,99.0,,1 KING ST
4636,4708,6.60404E+11,Public School,HILLSIDE ELEMENTARY SCHOOL,Westchester,100.0,,120 LEFURGY AVE
4637,4709,2.80201E+11,Public School,FULTON SCHOOL,Nassau,96.0,,40 FULTON STREET
4638,4710,6.10301E+11,School District,DRYDEN CENTRAL SCHOOL,Tompkins,100.0,,DRYDEN CENTRAL SCHOOL
4639,4711,3.211E+11,Private School,ST CATHARINE ACADEMY,Bronx,100.0,,2250 WILLIAMSBRDGE RD
4640,4712,4.40401E+11,Public School,E J RUSSELL ELEM SCHOOL,Orange,100.0,,78 HOLLAND AVE
4641,4713,1.61501E+11,Public School,FRANKLIN ACADEMY H S,Franklin,100.0,,STATE ST
4642,4714,5.80205E+11,Public School,HIAWATHA SCHOOL,Suffolk,100.0,,97 PATCHOGUE RD
4643,4715,3.32E+11,Private School,ST PATRICK CATHOLIC ACADEMY,Kings,96.0,,401 97TH ST BKLYN
4644,4716,6.11001E+11,Public School,RUSSELL I DOIG MIDDLE SCHOOL,Tompkins,100.0,,100 WHIG ST
4645,4717,1.61501E+11,Public School,DAVIS ELEMENTARY SCHOOL,Franklin,92.0,,183 WEBSTER ST
4646,4718,062601658579,Private School,VALLEY VIEW SCHOOL,Chautauqua,70.0,,7 NORTH ERIE ST
4647,4719,3.102E+11,Private School,ACADEMY OF ST. JOSEPH,New York,100.0,,111 WASHINGTON PLACE
4648,4720,5.00402E+11,Public School,LIME KILN ELEM SCHOOL,Rockland,98.0,,LIME KILN RD
4649,4721,6.60402E+11,Private School,HACKLEY SCHOOL,Westchester,100.0,,293 BENEDICT AVE
4650,4722,3.32E+11,Private School,CONGREGATION BNOS CHAYA - 4502,Kings,100.0,,4511 14TH AVENUE
4651,4723,2.80504E+11,Public School,H B MATTLIN MIDDLE SCHOOL,Nassau,100.0,,100 WASHINGTON AVE
4652,4724,043011020000,School District,RANDOLPH ACADEMY UFSD,Cattaraugus,100.0,,336 MAIN ST
4653,4725,4.40901E+11,Public School,JAMES I O NEILL H S,Orange,100.0,,21 MORGAN RD
4654,4726,2.80523E+11,Private School,ST ROSE OF LIMA SCHOOL,Nassau,100.0,,4704 MERRICK RD
4655,4727,1.40207E+11,Public School,SWEET HOME MIDDLE SCHOOL,Erie,100.0,,4150 MAPLE RD
4656,4728,1.31701E+11,Public School,MILL ROAD - INTERMEDIATE GRADES,Dutchess,100.0,,9 MILL ROAD
4657,4729,5.80909E+11,School District,BRIDGEHAMPTON U F S,Suffolk,99.0,,2685 MONTAUK HWY
4658,4730,2.50401E+11,Public School,EDWARD R ANDREWS ELEMENTARY SCHOOL,Madison,99.0,,55 EATON ST
4659,4731,6.80602E+11,Private School,NEW CONQUEST MENNONITE SCHOOL,Yates,68.0,,417 LIBERTY ST. SUITE 2120
4660,4732,5.00402E+11,Private School,UNITED TALMUDICAL ACADEMY - 106,Rockland,100.0,,106 SOUTH MADISON AVE
4661,4733,3.102E+11,Private School,ST JEAN BAPTISTE H S,New York,100.0,,173 E 75TH ST
4662,4734,2.80213E+11,Private School,CHEDER AT THE OHEL,Nassau,98.0,,322 N CORONA AVE
4663,4735,5.00308E+11,Private School,ST MARGARET OF ANTIOCH SCHOOL,Rockland,100.0,,34 N MAGNOLIA ST
4664,4736,1.01401E+11,Public School,ICHABOD CRANE PRIMARY SCHOOL,Columbia,99.0,,ROUTE 9 2910
4665,4737,2.61314E+11,Private School,ST JOHN BOSCO SCHOOL,Monroe,100.0,,501 Garfield Street
4666,4738,4.31701E+11,Public School,VICTOR J H S,Ontario,100.0,,VICTOR J H S
