"School Name","School Type","Address","City","Zipcode","Planning Region","Polio","DTaP","MMR","HepB","Var","HepA","MCV","Tdap","All","Ex_Rel","Ex_Med","Ex_Tot"
"Cedarhurst School","Non-public","871 Prospect Street","Hamden","06517","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Hamden Hall School","Non-public","1108 Whitney Avenue","Hamden","06517","South Central","95.0","95.0","95.0","95.0","95.0","95.0","95.0","95.0","95.0","5.0","0.0","5.0"
"Hamden Middle School","Public","2623 Dixwell Ave.","Hamden","06518","South Central","97.2","97.4","96.9","96.9","96.9","96.6","96.9","96.9","95.9","2.1","0.0","2.1"
"Laurel Oaks Adventist School","Non-public","14 West Shepard Avenue","Hamden","06514","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Rita School","Non-public","1601 Whitney Avenue","Hamden","06517","South Central","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","8.3","0.0","8.3"
"Bridges Community School","Non-public","376 Hartford Turnpike","Hampton","06247","Northeast CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Achievement First Hartford Academy","Public","305 Greenfield Street","Hartford","06112","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Betances STEM Magnet School","Public","400 Wethersfield Avenue","Hartford","06114","Capitol","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Breakthrough Magnet School, South","Public","290 Brookfield Street","Hartford","06106","Capitol","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Burr Middle School","Public","400 Wethersfield Avenue","Hartford","06114","Capitol","98.5","100.0","100.0","98.5","98.5","98.5","98.5","98.5","95.4","0.0","0.0","0.0"
"Capital Preparatory Magnet School","Public","1304 Main Street","Hartford","06103","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Classical Magnet School","Public","85 Woodland Street","Hartford","06105","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Covenant Preparatory School","Non-public","474 Woodland St","Hartford","06112","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Dwight-Bellizzi Dual Language Academy","Public","215 South Street","Hartford","06114","Capitol","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Eagle House Education Program","Non-public","1680 Albany Avenue","Hartford","06105","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Environmental Sciences Magnet at Hooker School","Public","440 Broadview Terrace","Hartford","06106","Capitol","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Global Communications Academy","Public","85 Edwards Street","Hartford","06112","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Grace Academy","Non-public","457 Main Street","Hartford","06103","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Grace S. Webb School","Non-public","200 Retreat Avenue","Hartford","06106","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Hartford Magnet Trinity College Academy","Public","53 Vernon Street","Hartford","06103","Capitol","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","0.8","0.8","1.6"
"High Road School of Hartford-Primary","Non-public","757 New Britain Ave","Hartford","06106","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Jumoke Academy","Public","999 Asylum Ave. Suite 200","Hartford","06105","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Kennelly School","Public","180 White Street","Hartford","06114","Capitol","100.0","100.0","100.0","100.0","100.0","100.0","97.3","97.3","97.3","0.0","0.0","0.0"
"Kinsella Magnet School of Performing Arts: PK-8 Campus","Public","65 Van Block Avenue","Hartford","06106","Capitol","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"M. L. King, Jr. Middle School","Public","25 Ridgefield Street","Hartford","06112","Capitol","96.4","96.4","96.4","98.2","96.4","96.4","96.4","96.4","96.4","1.8","0.0","1.8"
"McDonough Middle School","Public","111 Hillside Avenue","Hartford","06106","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Milner Middle School","Public","150 Tower Avenue","Hartford","06112","Capitol","100","100","100.0","100.0","100.0","98.9","100.0","100.0","98.9","0.0","0.0","0.0"
"Montessori Magnet at Fisher School","Public","280 Plainfield Street","Hartford","06112","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Northeastern Adventist Academy - Hartford Campus/Covenant Prepatory School","Non-public","474 Woodland Street","Hartford","06112","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Oak Hill School at Hartford","Non-public","120 Holcomb Street","Hartford","06112","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Options Educational Services","Non-public","606 Farmington Avenue","Hartford","06105","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Renzulli Academy","Non-public","121 Cornwall St","Hartford","06112","Capitol","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Sport and Medical Sciences Academy","Public","280 Huyshope Avenue","Hartford","06106","Capitol","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"STEM magnet at Annie Fisher","Public","280 Plainfield St","Hartford","06112","Capitol","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","97.5","2.5","0.0","2.5"
"Watkinson School","Non-public","180 Bloomfield Avenue","Hartford","06105","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Webster Micro Society Magnet School","Public","5 Cone Street","Hartford","06105","Capitol","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Hartland School","Public","30 South Rd.","Hartland","06027","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"RHAM Middle School","Public","25 Rham Road","Hebron","06248","Capitol","93.8","93.8","92.6","93.8","92.6","93.2","90.7","90.7","88.9","6.2","0.0","6.2"
"Kent Center School","Public","9 Judd Street","Kent","06757","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
