"School Name","School Type","Address","City","Zipcode","Planning Region","Polio","DTaP","MMR","HepB","Varicella","HepA","All","Ex_Rel","Ex_Med","Ex_Tot"
"Great Beginnings Montessori School","Non-public","148 Beach Road","Fairfield","06824","Greater Bridgeport","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Holland Hill School","Public","105 Meadowcroft Road","Fairfield","06824","Greater Bridgeport","98.2","98.2","98.2","98.2","98.2","98.2","98.2","0","0","0"
"Hunt Ridge Montessori","Non-public","834 Brookside Dr","Fairfield","06824","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Jennings School","Public","31 Palm Dr.","Fairfield","06824","Greater Bridgeport","97.6","97.6","97.6","97.6","97.6","97.6","97.6","0","2.4","2.4"
"McKinley School","Public","60 Thompson St.","Fairfield","06825","Greater Bridgeport","100","100","100","100","100","100","100","0","0","0"
"Mill Hill School","Public","635 Mill Hill Terrace","Fairfield","06890","Greater Bridgeport","100","100","100","100","100","100","100","0","0","0"
"North Stratfield School","Public","190 Putting Green Rd.","Fairfield","06825","Greater Bridgeport","100","100","100","100","100","100","100","0","0","0"
"Osborn Hill School","Public","760 Stillson Rd.","Fairfield","06824","Greater Bridgeport","98.7","98.7","98.7","98.7","98.7","98.7","98.7","0","1.3","1.3"
"Riverfield School","Public","1625 Mill Plain Rd.","Fairfield","06824","Greater Bridgeport","100","100","100","100","100","100","100","0","0","0"
"Sherman School","Public","250 Fern St.","Fairfield","06824","Greater Bridgeport","98.3","98.3","98.3","98.3","98.3","98.3","98.3","0","1.7","1.7"
"St. Thomas Aquinas Catholic School","Non-public","1719 Post Road","Fairfield","06824","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Stratfield School","Public","1407 Melville Ave.","Fairfield","06825","Greater Bridgeport","100","100","100","100","100","100","100","0","0","0"
"The Unquowa School","Non-public","981 Stratfield Road","Fairfield","06825","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"East Farms School","Public","25 Wolf Pit Rd.","Farmington","06032","Capitol","100","100","100","100","100","100","100","0","0","0"
"Noah Wallace School","Public","2 School St.","Farmington","06032","Capitol","100","98.2","98.2","98.2","98.2","100","98.2","0","0","0"
"Union School","Public","173 School St.","Farmington","06085","Capitol","100","100","100","100","100","100","100","0","0","0"
"West District School","Non-public","114 West District Road","Farmington","06085","Capitol","100","100","100","100","100","100","100","0","0","0"
"Franklin Elementary School","Public","206 Pond Rd.","Franklin","06254","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Buttonball Lane School","Public","376 Buttonball Ln.","Glastonbury","06033","Capitol","100","100","100","100","100","100","100","0","0","0"
"Eastbury Programs","Non-public","1389 Neipsic Road","Glastonbury","06033","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Glastonbury/East Hartford Magnet School","Public","95 Oak Street","Glastonbury","06033","Capitol","97","98.5","95.5","98.5","95.5","95.5","92.4","0","1.5","1.5"
"Hebron Avenue School","Public","1363 Hebron Avenue","Glastonbury","06033","Capitol","100","100","100","100","100","100","100","0","0","0"
"Hopewell School","Public","1068 Chestnut Hill Rd.","Glastonbury","06073","Capitol","100","100","100","100","100","100","100","0","0","0"
