"County","School","Grade","Total Students Enrolled","DTaP Percent","Polio Percent","MMR Percent","Hep B Percent","Varicella Had Disease Percent","Varicella Percent","Tdap Percent","MCV4 1st Dose Percent","MCV4 16+ 1 Dose Percent","MCV4 2nd Dose 16+ Percent","Medical Exemption Percent","Religious Exemption Percent","Philosophical Exemption Percent","Enrolled Provisionally Percent","Denied Admission Percent","Noncompliant and Attending Percent"
"Philadelphia","Liguori Academy","12th Grade","45","100.0%","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Philadelphia","Lincoln HS","12th Grade","435","98.4%","98.9%","97.7%","98.9%","1.1%","97.2%","97.9%","","31.0%","65.5%","1.4%","1.1%","1.8%","1.1%","0.0%","2.8%"
"Philadelphia","Lindley Academy CS at Birney","Kindergarten","86","95.3%","97.7%","96.5%","97.7%","0.0%","98.8%","","","","","0.0%","0.0%","2.3%","0.0%","0.0%","4.7%"
"Philadelphia","Lindley Academy CS at Birney","7th Grade","80","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","96.2%","98.8%","","","0.0%","0.0%","1.2%","0.0%","0.0%","3.8%"
"Philadelphia","Lingelbach Anna L Sch","Kindergarten","39","87.2%","87.2%","87.2%","87.2%","0.0%","87.2%","","","","","0.0%","2.6%","5.1%","0.0%","0.0%","5.1%"
"Philadelphia","Lingelbach Anna L Sch","7th Grade","35","97.1%","97.1%","97.1%","100.0%","0.0%","94.3%","88.6%","88.6%","","","0.0%","2.9%","0.0%","2.9%","0.0%","11.4%"
"Philadelphia","Little Flower Catholic School","12th Grade","91","98.9%","97.8%","96.7%","97.8%","0.0%","96.7%","95.6%","","5.5%","84.6%","0.0%","0.0%","0.0%","0.0%","0.0%","83.5%"
"Philadelphia","Locke Alain Sch","Kindergarten","30","86.7%","90.0%","96.7%","100.0%","0.0%","93.3%","","","","","0.0%","0.0%","0.0%","13.3%","0.0%","3.3%"
"Philadelphia","Locke Alain Sch","7th Grade","27","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","100.0%","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Philadelphia","Loesche William H Sch","Kindergarten","217","92.2%","92.6%","91.7%","94.0%","4.1%","84.3%","","","","","0.5%","6.5%","3.2%","1.8%","0.0%","0.0%"
"Philadelphia","Logan Hope School","Kindergarten","9","","","","","","","","","","","","","","","",""
"Philadelphia","Logan Hope School","7th Grade","7","","","","","","","","","","","","","","","",""
"Philadelphia","Logan James Sch","Kindergarten","27","81.5%","81.5%","81.5%","92.6%","0.0%","88.9%","","","","","0.0%","3.7%","14.8%","7.4%","0.0%","0.0%"
"Philadelphia","Longstreth William C Sch","Kindergarten","30","96.7%","96.7%","96.7%","96.7%","0.0%","96.7%","","","","","0.0%","3.3%","0.0%","3.3%","0.0%","0.0%"
"Philadelphia","Longstreth William C Sch","7th Grade","33","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","93.9%","93.9%","","","0.0%","6.1%","0.0%","0.0%","0.0%","0.0%"
"Philadelphia","Lowell James R Sch","Kindergarten","65","96.9%","96.9%","96.9%","96.9%","0.0%","96.9%","","","","","0.0%","3.1%","0.0%","0.0%","0.0%","0.0%"
"Philadelphia","Ludlow James R Sch","Kindergarten","14","","","","","","","","","","","","","","","",""
"Philadelphia","Ludlow James R Sch","7th Grade","25","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","84.0%","84.0%","","","0.0%","0.0%","0.0%","0.0%","0.0%","16.0%"
"Philadelphia","MAST Community CS","Kindergarten","107","95.3%","95.3%","95.3%","95.3%","0.0%","95.3%","","","","","0.0%","3.7%","0.9%","0.0%","0.0%","0.0%"
"Philadelphia","MAST Community CS","7th Grade","112","99.1%","99.1%","99.1%","99.1%","0.9%","98.2%","99.1%","99.1%","","","0.0%","0.0%","0.9%","0.0%","0.0%","0.0%"
"Philadelphia","MAST Community CS","12th Grade","113","97.3%","97.3%","96.5%","97.3%","1.8%","94.7%","97.3%","","0.0%","96.5%","1.8%","0.9%","0.9%","1.8%","0.0%","0.0%"
"Philadelphia","MaST Community CS II","Kindergarten","124","94.4%","94.4%","94.4%","94.4%","0.0%","94.4%","","","","","0.0%","2.4%","2.4%","0.8%","0.0%","0.0%"
"Philadelphia","MaST Community CS II","7th Grade","194","89.2%","89.7%","89.7%","89.7%","0.0%","89.7%","89.7%","89.7%","","","0.0%","4.1%","6.2%","0.0%","0.5%","0.0%"
"Philadelphia","MaST Community CS II","12th Grade","104","94.2%","94.2%","94.2%","94.2%","1.0%","93.3%","94.2%","","0.0%","94.2%","0.0%","3.8%","0.0%","1.9%","0.0%","0.0%"
"Philadelphia","MaST Community CS III","Kindergarten","68","95.6%","95.6%","95.6%","95.6%","0.0%","95.6%","","","","","0.0%","2.9%","1.5%","0.0%","0.0%","0.0%"
"Philadelphia","MaST Community CS III","7th Grade","137","99.3%","99.3%","99.3%","99.3%","0.0%","99.3%","93.4%","92.0%","","","0.7%","3.6%","3.6%","0.0%","0.0%","0.0%"
"Philadelphia","Marian Anderson Neighborhood Academy","Kindergarten","45","97.8%","97.8%","97.8%","97.8%","0.0%","97.8%","","","","","0.0%","0.0%","2.2%","0.0%","0.0%","0.0%"
"Philadelphia","Marian Anderson Neighborhood Academy","7th Grade","14","","","","","","","","","","","","","","","",""
"Philadelphia","Mariana Bracetti Academy CS","Kindergarten","124","96.0%","96.0%","96.8%","99.2%","0.0%","96.8%","","","","","0.0%","0.8%","1.6%","0.0%","0.0%","1.6%"
"Philadelphia","Mariana Bracetti Academy CS","7th Grade","128","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","97.7%","97.7%","","","0.0%","0.8%","0.0%","0.0%","0.0%","1.6%"
"Philadelphia","Mariana Bracetti Academy CS","12th Grade","67","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","","4.5%","95.5%","0.0%","3.0%","0.0%","0.0%","0.0%","1.5%"
"Philadelphia","Maritime Academy CS","Kindergarten","31","100.0%","96.8%","100.0%","100.0%","0.0%","100.0%","","","","","0.0%","0.0%","0.0%","0.0%","0.0%","3.2%"
"Philadelphia","Maritime Academy CS","7th Grade","97","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","78.4%","78.4%","","","0.0%","0.0%","0.0%","0.0%","0.0%","21.6%"
"Philadelphia","Maritime Academy CS","12th Grade","49","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","","16.3%","83.7%","0.0%","0.0%","0.0%","0.0%","0.0%","16.3%"
"Philadelphia","Marshall John Sch","Kindergarten","39","97.4%","97.4%","97.4%","97.4%","0.0%","97.4%","","","","","0.0%","0.0%","0.0%","0.0%","0.0%","2.6%"
"Philadelphia","Marshall Thurgood","Kindergarten","48","93.8%","95.8%","95.8%","93.8%","0.0%","93.8%","","","","","0.0%","0.0%","4.2%","2.1%","0.0%","2.1%"
"Philadelphia","Marshall Thurgood","7th Grade","53","98.1%","98.1%","98.1%","100.0%","0.0%","98.1%","92.5%","90.6%","","","0.0%","0.0%","5.7%","0.0%","0.0%","3.8%"
"Philadelphia","Mastbaum Jules E AVTS","12th Grade","104","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","","0.0%","94.2%","0.0%","2.9%","0.0%","0.0%","0.0%","2.9%"
