State,School District or Name,County,Age Group,Old Rate,New Rate,Difference
AZ,ACADEMY OF MATH AND SCIENCE SOUTH MOUNTAIN,MARICOPA,KINDERGARTEN,93.22,93.0,-0.22
AZ,ACADEMY OF MATHEMATICS AND SCIENCE SOUTH,MARICOPA,KINDERGARTEN,76.0,85.9,9.9
AZ,ADAMS ELEMENTARY SCHOOL,MARICOPA,6TH GRADE,95.56,97.9,2.34
AZ,ADAMS ELEMENTARY SCHOOL,MARICOPA,KINDERGARTEN,94.68,91.8,-2.88
AZ,ADAMS TRADITIONAL ACADEMY,MARICOPA,6TH GRADE,90.38,97.5,7.12
AZ,ADAMS TRADITIONAL ACADEMY,MARICOPA,KINDERGARTEN,84.09,85.5,1.41
AZ,ADVANCE U,MARICOPA,KINDERGARTEN,80.95,95.0,14.05
AZ,AGUILAR SCHOOL,MARICOPA,KINDERGARTEN,94.83,93.2,-1.63
AZ,ALHAMBRA TRADITIONAL SCHOOL,MARICOPA,6TH GRADE,98.84,100.0,1.16
AZ,ALHAMBRA TRADITIONAL SCHOOL,MARICOPA,KINDERGARTEN,95.52,94.2,-1.32
AZ,ALL SAINTS EPISCOPAL DAY SCHOOL,MARICOPA,6TH GRADE,100.0,98.6,-1.4
AZ,ALL SAINTS EPISCOPAL DAY SCHOOL,MARICOPA,KINDERGARTEN,93.88,93.8,-0.08
AZ,ALTA E BUTLER SCHOOL,MARICOPA,KINDERGARTEN,88.89,93.0,4.11
AZ,ALTA LOMA SCHOOL,MARICOPA,6TH GRADE,98.59,97.6,-0.99
AZ,ALTA LOMA SCHOOL,MARICOPA,KINDERGARTEN,91.94,94.9,2.96
AZ,ALTA VISTA ELEMENTARY SCHOOL,MARICOPA,6TH GRADE,97.47,97.3,-0.17
AZ,ALTA VISTA ELEMENTARY SCHOOL,MARICOPA,KINDERGARTEN,98.39,98.7,0.31
AZ,AMBERLEA ELEMENTARY SCHOOL,MARICOPA,6TH GRADE,98.36,95.3,-3.06
AZ,AMBERLEA ELEMENTARY SCHOOL,MARICOPA,KINDERGARTEN,90.2,90.9,0.7
AZ,AMERICAN LEADERSHIP ACADEMY - GILBERT,MARICOPA,6TH GRADE,89.74,85.7,-4.04
AZ,AMERICAN LEADERSHIP ACADEMY - GILBERT,MARICOPA,KINDERGARTEN,78.16,77.1,-1.06
AZ,AMERICAN LEADERSHIP ACADEMY - MESA,MARICOPA,6TH GRADE,85.96,87.9,1.94
AZ,AMERICAN LEADERSHIP ACADEMY - MESA,MARICOPA,KINDERGARTEN,75.29,71.2,-4.09
AZ,AMERICAN LEADERSHIP ACADEMY - QUEEN CREEK,MARICOPA,6TH GRADE,87.43,86.4,-1.03
AZ,AMERICAN LEADERSHIP ACADEMY - QUEEN CREEK,MARICOPA,KINDERGARTEN,72.41,70.5,-1.91
AZ,AMERICAN LEADERSHIP ACADEMY - SAN TAN,MARICOPA,6TH GRADE,83.51,91.9,8.39
AZ,AMERICAN LEADERSHIP ACADEMY - SAN TAN,MARICOPA,KINDERGARTEN,89.0,80.8,-8.2
AZ,AMERICAN LEADERSHIP ACADEMY WEST FOOTHILLS EL,MARICOPA,6TH GRADE,87.5,87.9,0.4
AZ,AMERICAN LEADERSHIP ACADEMY WEST FOOTHILLS EL,MARICOPA,KINDERGARTEN,76.77,74.8,-1.97
AZ,AMERICAN LEADERSHIP ACADEMY- GILBERT NORTH K-6 CAMPUS,MARICOPA,6TH GRADE,84.97,88.4,3.43
AZ,AMERICAN LEADERSHIP ACADEMY- GILBERT NORTH K-6 CAMPUS,MARICOPA,KINDERGARTEN,75.49,69.2,-6.29
AZ,AMERICAN LEADERSHIP ACADEMY- GILBERT SOUTH K-6 CAMPUS,MARICOPA,6TH GRADE,84.62,83.7,-0.92
AZ,AMERICAN LEADERSHIP ACADEMY- GILBERT SOUTH K-6 CAMPUS,MARICOPA,KINDERGARTEN,74.39,76.2,1.81
AZ,AMERICAN LEADERSHIP ACADEMY- SIGNAL BUTTE K-6 CAMPUS,MARICOPA,6TH GRADE,96.23,89.3,-6.93
AZ,AMERICAN LEADERSHIP ACADEMY- SIGNAL BUTTE K-6 CAMPUS,MARICOPA,KINDERGARTEN,74.67,74.0,-0.67
AZ,ANASAZI ELEMENTARY,MARICOPA,KINDERGARTEN,97.96,89.7,-8.26
AZ,ANNA MARIE JACOBSON ELEMENTARY SCHOOL,MARICOPA,6TH GRADE,97.03,95.2,-1.83
AZ,ANNA MARIE JACOBSON ELEMENTARY SCHOOL,MARICOPA,KINDERGARTEN,98.55,85.4,-13.15
AZ,ANTHEM SCHOOL,MARICOPA,6TH GRADE,86.54,88.7,2.16
AZ,ANTHEM SCHOOL,MARICOPA,KINDERGARTEN,85.71,82.4,-3.31
AZ,APACHE ELEMENTARY SCHOOL,MARICOPA,6TH GRADE,95.18,95.2,0.02
AZ,APACHE ELEMENTARY SCHOOL,MARICOPA,KINDERGARTEN,94.23,85.4,-8.83
AZ,ARCHWAY CLASSICAL ACADEMY - CHANDLER,MARICOPA,KINDERGARTEN,81.93,89.0,7.07
AZ,ARCHWAY CLASSICAL ACADEMY - SCOTTSDALE,MARICOPA,KINDERGARTEN,82.21,74.5,-7.71
AZ,ARCHWAY CLASSICAL ACADEMY GLENDALE,MARICOPA,KINDERGARTEN,65.96,80.0,14.04
AZ,ARIZONA AUTISM CHARTER SCHOOL,MARICOPA,6TH GRADE,88.52,92.5,3.98
AZ,ARIZONA AUTISM CHARTER SCHOOL,MARICOPA,KINDERGARTEN,76.74,83.3,6.56
AZ,ARIZONA CHARTER ACADEMY,MARICOPA,6TH GRADE,96.12,98.0,1.88
AZ,ARIZONA CHARTER ACADEMY,MARICOPA,KINDERGARTEN,95.24,90.4,-4.84
AZ,ARIZONA COLLEGE PREP MIDDLE SCHOOL,MARICOPA,6TH GRADE,99.3,97.2,-2.1
AZ,ARIZONA CONNECTIONS ACADEMY,MARICOPA,6TH GRADE,85.71,80.7,-5.01
AZ,ARIZONA CONNECTIONS ACADEMY,MARICOPA,KINDERGARTEN,73.33,80.3,6.97
AZ,ARIZONA CULTURAL ACADEMY,MARICOPA,6TH GRADE,97.62,86.1,-11.52
AZ,ARIZONA CULTURAL ACADEMY,MARICOPA,KINDERGARTEN,90.91,92.0,1.09
AZ,ARIZONA DESERT ELEMENTARY SCHOOL - TOLLESON,MARICOPA,6TH GRADE,97.06,95.9,-1.16
AZ,ARIZONA DESERT ELEMENTARY SCHOOL - TOLLESON,MARICOPA,KINDERGARTEN,96.67,94.1,-2.57
AZ,ARLINGTON ELEMENTARY SCHOOL,MARICOPA,6TH GRADE,94.44,73.8,-20.64
AZ,ARLINGTON ELEMENTARY SCHOOL,MARICOPA,KINDERGARTEN,76.0,77.8,1.8
AZ,ARROWHEAD CHRISTIAN ACADEMY,MARICOPA,6TH GRADE,86.36,87.0,0.64
AZ,ARROWHEAD CHRISTIAN ACADEMY,MARICOPA,KINDERGARTEN,57.89,54.2,-3.69
AZ,ARROWHEAD ELEMENTARY SCHOOL-85308,MARICOPA,6TH GRADE,96.0,95.9,-0.1
AZ,ARROWHEAD ELEMENTARY SCHOOL-85308,MARICOPA,KINDERGARTEN,95.65,96.3,0.65
AZ,ARROYO SCHOOL,MARICOPA,6TH GRADE,97.01,98.1,1.09
AZ,ARROYO SCHOOL,MARICOPA,KINDERGARTEN,96.97,86.7,-10.27
AZ,ARTS ACADEMY AT ESTRELLA MOUNTAIN,MARICOPA,6TH GRADE,96.72,100.0,3.28
AZ,ARTS ACADEMY AT ESTRELLA MOUNTAIN,MARICOPA,KINDERGARTEN,94.12,92.2,-1.92
AZ,ASANTE PREPARATORY ACADEMY,MARICOPA,KINDERGARTEN,92.48,91.1,-1.38
AZ,ASHLAND ELEMENTARY,MARICOPA,6TH GRADE,94.87,95.2,0.33
AZ,ASHLAND ELEMENTARY,MARICOPA,KINDERGARTEN,81.01,89.4,8.39
AZ,ASHTON RANCH MIDDLE SCHOOL,MARICOPA,6TH GRADE,97.35,96.0,-1.35
AZ,ASU PREP PILGRIM'S REST,MARICOPA,KINDERGARTEN,88.89,95.0,6.11
AZ,ASU PREPARATORY ACADEMY - PHOENIX ELEMENTARY,MARICOPA,6TH GRADE,91.67,96.9,5.23
AZ,ASU PREPARATORY ACADEMY - PHOENIX ELEMENTARY,MARICOPA,KINDERGARTEN,84.72,87.5,2.78
AZ,ASU PREPARATORY ACADEMY - POLYTECHNIC ELEMENTARY SCHOOL,MARICOPA,6TH GRADE,90.99,90.9,-0.09
AZ,ASU PREPARATORY ACADEMY - POLYTECHNIC ELEMENTARY SCHOOL,MARICOPA,KINDERGARTEN,91.03,90.1,-0.93
AZ,AUDREY & ROBERT RYAN ELEMENTARY,MARICOPA,6TH GRADE,92.78,98.0,5.22
AZ,AUDREY & ROBERT RYAN ELEMENTARY,MARICOPA,KINDERGARTEN,85.71,93.8,8.09
AZ,AUGUSTA RANCH ELEMENTARY,MARICOPA,6TH GRADE,95.89,96.6,0.71
AZ,AUGUSTA RANCH ELEMENTARY,MARICOPA,KINDERGARTEN,98.86,86.3,-12.56
AZ,AUGUSTUS H SHAW JR SCHOOL,MARICOPA,6TH GRADE,100.0,93.9,-6.1
AZ,AUGUSTUS H SHAW JR SCHOOL,MARICOPA,KINDERGARTEN,94.44,90.7,-3.74
AZ,BALES ELEMENTARY SCHOOL,MARICOPA,6TH GRADE,98.39,93.4,-4.99
AZ,BALES ELEMENTARY SCHOOL,MARICOPA,KINDERGARTEN,93.9,89.7,-4.2
AZ,BARBARA B ROBEY ELEMENTARY - 85340,MARICOPA,KINDERGARTEN,88.37,91.1,2.73
AZ,BARBARA BUSH ELEMENTARY SCHOOL - 85205,MARICOPA,6TH GRADE,94.59,90.3,-4.29
AZ,BARBARA BUSH ELEMENTARY SCHOOL - 85205,MARICOPA,KINDERGARTEN,89.86,94.1,4.24
AZ,BARCELONA ELEMENTARY SCHOOL,MARICOPA,6TH GRADE,95.45,98.9,3.45
AZ,BARCELONA ELEMENTARY SCHOOL,MARICOPA,KINDERGARTEN,96.43,95.7,-0.73
AZ,BASHA ELEMENTARY,MARICOPA,6TH GRADE,96.91,97.0,0.09
AZ,BASHA ELEMENTARY,MARICOPA,KINDERGARTEN,94.83,88.7,-6.13
AZ,BASHA HIGH SCHOOL,MARICOPA,6TH GRADE,100.0,100.0,0.0
AZ,BASIS - AHWATUKEE,MARICOPA,6TH GRADE,98.2,93.3,-4.9
AZ,BASIS - CHANDLER,MARICOPA,6TH GRADE,97.22,96.8,-0.42
AZ,BASIS - MESA,MARICOPA,6TH GRADE,95.6,94.6,-1.0
AZ,BASIS - MESA,MARICOPA,KINDERGARTEN,90.48,89.2,-1.28
AZ,BASIS - PEORIA,MARICOPA,6TH GRADE,96.83,96.2,-0.63
AZ,BASIS - PEORIA PRIMARY,MARICOPA,KINDERGARTEN,95.45,91.7,-3.75
AZ,BASIS - PHOENIX,MARICOPA,6TH GRADE,96.95,95.2,-1.75
AZ,BASIS - PHOENIX PRIMARY,MARICOPA,KINDERGARTEN,90.83,89.9,-0.93
AZ,BASIS - SCOTTSDALE,MARICOPA,6TH GRADE,97.66,92.5,-5.16
AZ,BASIS - SCOTTSDALE PRIMARY WEST CAMPUS,MARICOPA,KINDERGARTEN,93.41,82.6,-10.81
AZ,BASIS CHANDLER PRIMARY NORTH CAMPUS,MARICOPA,KINDERGARTEN,96.33,98.1,1.77
AZ,BASIS CHANDLER PRIMARY SOUTH CAMPUS,MARICOPA,KINDERGARTEN,95.74,95.7,-0.04
AZ,BASIS GOODYEAR,MARICOPA,6TH GRADE,97.87,89.9,-7.97
AZ,BASIS GOODYEAR,MARICOPA,KINDERGARTEN,89.25,86.3,-2.95
AZ,BASIS PHOENIX CENTRAL PRIMARY,MARICOPA,KINDERGARTEN,80.0,85.5,5.5
AZ,BASIS PHOENIX SOUTH PRIMARY SCHOOL,MARICOPA,6TH GRADE,100.0,94.0,-6.0
AZ,BASIS PHOENIX SOUTH PRIMARY SCHOOL,MARICOPA,KINDERGARTEN,96.72,78.7,-18.02
AZ,BASIS SCOTTSDALE PRIMARY,MARICOPA,KINDERGARTEN,91.03,87.9,-3.13
AZ,BAYER PRIVATE SCHOOL,MARICOPA,KINDERGARTEN,100.0,95.8,-4.2
AZ,BELEN SOTO ELEMENTARY SCHOOL,MARICOPA,6TH GRADE,94.48,96.2,1.72
AZ,BELEN SOTO ELEMENTARY SCHOOL,MARICOPA,KINDERGARTEN,94.74,87.4,-7.34
AZ,BELLAIR ELEMENTARY SCHOOL,MARICOPA,6TH GRADE,96.55,100.0,3.45
AZ,BELLAIR ELEMENTARY SCHOOL,MARICOPA,KINDERGARTEN,86.36,86.1,-0.26
AZ,BENCHMARK SCHOOL,MARICOPA,6TH GRADE,73.17,78.6,5.43
AZ,BENCHMARK SCHOOL,MARICOPA,KINDERGARTEN,55.77,53.3,-2.47
AZ,BENJAMIN FRANKLIN CHARTER SCHOOL - GILBERT,MARICOPA,6TH GRADE,90.32,90.1,-0.22
AZ,BENJAMIN FRANKLIN CHARTER SCHOOL - GILBERT,MARICOPA,KINDERGARTEN,68.75,71.6,2.85
AZ,BENJAMIN FRANKLIN CHARTER SCHOOL - POWER RD,MARICOPA,6TH GRADE,83.56,93.7,10.14
AZ,BENJAMIN FRANKLIN CHARTER SCHOOL - POWER RD,MARICOPA,KINDERGARTEN,70.09,69.0,-1.09
AZ,BERNARD BLACK ELEMENTARY,MARICOPA,6TH GRADE,72.34,89.2,16.86
AZ,BERNARD BLACK ELEMENTARY,MARICOPA,KINDERGARTEN,74.55,78.6,4.05
AZ,BICENTENNIAL SOUTH SCHOOL,MARICOPA,6TH GRADE,98.72,96.5,-2.22
AZ,BICENTENNIAL SOUTH SCHOOL,MARICOPA,KINDERGARTEN,98.46,93.1,-5.36
AZ,BILTMORE PREPARATORY ACADEMY,MARICOPA,6TH GRADE,98.15,98.5,0.35
AZ,BILTMORE PREPARATORY ACADEMY,MARICOPA,KINDERGARTEN,93.94,100.0,6.06
AZ,BLACK MOUNTAIN ELEMENTARY SCHOOL - CAVE CREEK,MARICOPA,KINDERGARTEN,75.56,85.5,9.94
AZ,BOULDER CREEK ELEMENTARY - 85024,MARICOPA,6TH GRADE,96.63,95.5,-1.13
AZ,BOULDER CREEK ELEMENTARY - 85024,MARICOPA,KINDERGARTEN,97.3,97.3,0.0
AZ,BOULDER CREEK ELEMENTARY - 85212,MARICOPA,6TH GRADE,97.26,95.2,-2.06
AZ,BOULDER CREEK ELEMENTARY - 85212,MARICOPA,KINDERGARTEN,93.94,85.7,-8.24
AZ,BRIDGES ELEMENTARY SCHOOL,MARICOPA,6TH GRADE,98.1,93.6,-4.5
AZ,BRIDGES ELEMENTARY SCHOOL,MARICOPA,KINDERGARTEN,95.05,87.6,-7.45
