State,Bin,Count (New),Count (Old),Proportion (New),Proportion (Old)
OR,95-96,183.0,195.0,0.1098,0.1156
OR,96-97,182.0,235.0,0.1092,0.1393
OR,97-98,199.0,253.0,0.1194,0.15
OR,98-99,124.0,138.0,0.0744,0.0818
OR,99-100,111.0,125.0,0.0666,0.0741
PA,<50,15.0,23.0,0.004,0.0061
PA,50-60,9.0,19.0,0.0024,0.005
PA,60-70,32.0,25.0,0.0086,0.0066
PA,70-80,81.0,60.0,0.0218,0.0158
PA,80-85,86.0,66.0,0.0232,0.0174
PA,85-86,39.0,23.0,0.0105,0.0061
PA,86-87,34.0,26.0,0.0092,0.0069
PA,87-88,52.0,31.0,0.014,0.0082
PA,88-89,56.0,39.0,0.0151,0.0103
PA,89-90,56.0,32.0,0.0151,0.0084
PA,90-91,94.0,92.0,0.0253,0.0243
PA,91-92,149.0,87.0,0.0401,0.0229
PA,92-93,160.0,128.0,0.0431,0.0338
PA,93-94,201.0,132.0,0.0541,0.0348
PA,94-95,232.0,162.0,0.0625,0.0427
PA,95-96,336.0,281.0,0.0905,0.0741
PA,96-97,387.0,352.0,0.1042,0.0928
PA,97-98,436.0,472.0,0.1174,0.1245
PA,98-99,430.0,608.0,0.1158,0.1603
PA,99-100,829.0,1134.0,0.2232,0.2991
TX,<50,30.0,22.0,0.009,0.0066
TX,50-60,46.0,32.0,0.0138,0.0096
TX,60-70,74.0,66.0,0.0223,0.0197
TX,70-80,170.0,130.0,0.0512,0.0389
TX,80-85,199.0,144.0,0.0599,0.0431
TX,85-86,73.0,44.0,0.022,0.0132
TX,86-87,42.0,38.0,0.0126,0.0114
TX,87-88,55.0,57.0,0.0166,0.0171
TX,88-89,73.0,78.0,0.022,0.0233
TX,89-90,56.0,48.0,0.0169,0.0144
TX,90-91,111.0,120.0,0.0334,0.0359
TX,91-92,88.0,82.0,0.0265,0.0245
TX,92-93,124.0,134.0,0.0373,0.0401
TX,93-94,151.0,158.0,0.0455,0.0473
TX,94-95,183.0,169.0,0.0551,0.0506
TX,95-96,216.0,188.0,0.065,0.0562
TX,96-97,187.0,213.0,0.0563,0.0637
TX,97-98,234.0,272.0,0.0704,0.0814
TX,98-99,238.0,260.0,0.0716,0.0778
TX,99-100,972.0,1088.0,0.2926,0.3255
WA,<50,25.0,15.0,0.0094,0.0055
WA,50-60,14.0,11.0,0.0053,0.004
WA,60-70,39.0,29.0,0.0147,0.0106
WA,70-80,67.0,72.0,0.0252,0.0264
WA,80-85,88.0,88.0,0.0331,0.0323
WA,85-86,39.0,29.0,0.0147,0.0106
WA,86-87,39.0,33.0,0.0147,0.0121
WA,87-88,37.0,45.0,0.0139,0.0165
WA,88-89,54.0,40.0,0.0203,0.0147
WA,89-90,78.0,63.0,0.0293,0.0231
WA,90-91,84.0,76.0,0.0316,0.0279
WA,91-92,93.0,98.0,0.035,0.0359
WA,92-93,134.0,117.0,0.0504,0.0429
WA,93-94,156.0,172.0,0.0587,0.063
WA,94-95,214.0,208.0,0.0805,0.0762
WA,95-96,266.0,231.0,0.1001,0.0847
WA,96-97,314.0,344.0,0.1181,0.1261
WA,97-98,298.0,348.0,0.1121,0.1276
WA,98-99,332.0,385.0,0.1249,0.1411
WA,99-100,287.0,324.0,0.108,0.1188
WI,<50,128.0,160.0,0.0316,0.0404
WI,50-60,73.0,55.0,0.018,0.0139
WI,60-70,115.0,100.0,0.0284,0.0252
WI,70-80,295.0,271.0,0.0729,0.0684
WI,80-85,314.0,286.0,0.0776,0.0722
WI,85-86,98.0,77.0,0.0242,0.0194
WI,86-87,114.0,109.0,0.0282,0.0275
WI,87-88,102.0,101.0,0.0252,0.0255
WI,88-89,150.0,120.0,0.0371,0.0303
WI,89-90,163.0,150.0,0.0403,0.0379
WI,90-91,182.0,161.0,0.045,0.0406
WI,91-92,233.0,172.0,0.0576,0.0434
WI,92-93,216.0,219.0,0.0534,0.0553
WI,93-94,237.0,247.0,0.0586,0.0623
WI,94-95,286.0,320.0,0.0707,0.0807
WI,95-96,1341.0,1415.0,0.3314,0.3571
WI,96-97,0.0,0.0,0.0,0.0
WI,97-98,0.0,0.0,0.0,0.0
WI,98-99,0.0,0.0,0.0,0.0
WI,99-100,0.0,0.0,0.0,0.0
