Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
331400226020.0,Private School,CONG DARKEI TSHIVO OF DINOV,,Kings,100.0,All Grades
651501060005.0,Public School,NORTH ROSE-WOLCOTT H S,,Wayne,99.69,All Grades
151102996600.0,Private School,NORTH COUNTRY SCHOOL,,Essex,100.0,All Grades
140707030004.0,Public School,DEPEW MS,,Erie,100.0,All Grades
280215030004.0,Public School,LAWRENCE EARLY CHILDHOOD CENTER AT #4 SCHOOL,,Nassau,79.27,All Grades
420303060002.0,Public School,BEAR ROAD ELEM SCHOOL,,Onondaga,100.0,All Grades
161201040002.0,Public School,SALMON RIVER SHS,,Franklin,100.0,All Grades
141604060006.0,Public School,PINEHURST ES,,Erie,100.0,All Grades
401201060000.0,School District,ROYALTON HARTLAND CENT SCH,,Niagara,99.81,All Grades
441201060011.0,Public School,SAPPHIRE ELEM SCHOOL,,Orange,100.0,All Grades
140301136236.0,Private School,IMMACULATE CONCEPTION SCHOOL - EAST AURORA,,Erie,100.0,All Grades
333200125708.0,Private School,CRISTO REY BROOKLYN HIGH SCHOOL,,Kings,97.89,All Grades
10306060003.0,Public School,ELSMERE ES,,Albany,100.0,All Grades
400800010012.0,Public School,GJ MANN ELEMENTARY,,Niagara,99.13,All Grades
500402060016.0,Public School,ELMWOOD ELEM SCHOOL,,Rockland,98.56,All Grades
580205060003.0,Public School,HIAWATHA SCHOOL,,Suffolk,99.45,All Grades
142801137104.0,Private School,QUEEN OF HEAVEN SCHOOL,,Erie,99.32,All Grades
10100860829.0,Charter School,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,,Albany,100.0,All Grades
280215217122.0,Private School,BRANDEIS SCHOOL (THE),,Nassau,100.0,All Grades
10100860902.0,Private School,KIPP TECH VALLEY CHARTER MIDDLE - NORTHERN BOULEVARD,,Albany,99.43,All Grades
461300808392.0,Private School,OSWEGO COMMUNITY CHRISTIAN SCHOOL,,Oswego,100.0,All Grades
660404996304.0,Private School,HUDSON LAB SCHOOL INC,,Westchester,100.0,All Grades
280229999021.0,Private School,PROGRESSIVE SCHOOL OF LONG ISLAND,,Nassau,97.18,All Grades
10100010043.0,Public School,PHILIP SCHUYLER ACHIEVEMENT ACADEMY,,Albany,100.0,All Grades
280220030006.0,Public School,LYNBROOK SOUTH MIDDLE SCHOOL,,Nassau,100.0,All Grades
222000010013.0,Public School,CASE MIDDLE SCHOOL,,Jefferson,100.0,All Grades
280223030001.0,Public School,FOREST LAKE SCHOOL,,Nassau,100.0,All Grades
