,Facility Number,School Type,School District or Name,County,MMR Vaccination Rate,Age Group,Facility Address
892,370237001016,Public,Four Oaks Elementary,Johnston County,92.7,Kindergarten,"180 Hatcher St, Four Oaks, NC 27524"
893,370237001018,Public,Glendale-Kenly Elementary,Johnston County,98.3,Kindergarten,"2001 Bay Valley Rd, Kenly, NC 27542"
894,370043003449,Charter/Lab,Johnston Charter Academy,Johnston County,98.7,Kindergarten,"40 Scholar Drive, Clayton, NC 27520"
895,129,Private,LifeSpring Academy,Johnston County,95.0,Kindergarten,
896,370237002389,Public,McGee's Crossroads Elem,Johnston County,96.4,Kindergarten,"10330 NC Hwy 50 North, Angier, NC 27501"
897,370237001019,Public,Meadow School,Johnston County,93.7,Kindergarten,"7507 NC Hwy 50 S, Benson, NC 27504"
898,370237003395,Public,Micro Elementary,Johnston County,98.5,Kindergarten,"301 E Main St, Micro, NC 27555"
899,370014402925,Charter/Lab,Neuse Charter School,Johnston County,97.4,Kindergarten,"909 M. Durwood Stephenson Park, Smithfield, NC 27577"
900,370237001022,Public,Pine Level Elementary,Johnston County,100.0,Kindergarten,"304 West Blanche Street, Pine Level, NC 27568"
901,370237002588,Public,Polenta Elementary,Johnston County,94.1,Kindergarten,"105 Josephine Road, Garner, NC 27529"
902,370237003113,Public,Powhatan Elementary,Johnston County,94.9,Kindergarten,"3145 Vinson Rd, Clayton, NC 27527"
903,370237003117,Public,Princeton Elementary,Johnston County,96.9,Kindergarten,"650 Holt's Pond Rd, Princeton, NC 27569"
904,370237002672,Public,River Dell Elementary,Johnston County,94.8,Kindergarten,"12100 Buffalo Road, Clayton, NC 27527"
905,370237002529,Public,Riverwood Elementary,Johnston County,97.1,Kindergarten,"108 Athletic Club Blvd, Clayton, NC 27527"
906,370237001025,Public,Selma Elementary,Johnston County,91.1,Kindergarten,"311 W Richardson St, Selma, NC 27576"
907,370237001030,Public,South Smithfield Elementary,Johnston County,98.7,Kindergarten,"201 W Sanders St, Smithfield, NC 27577"
908,130,Private,Southside Christ. School  Inc.,Johnston County,93.9,Kindergarten,
909,131,Private,Thales Academy at Flowers Plan,Johnston County,90.5,Kindergarten,
910,370237001013,Public,West Clayton Elementary,Johnston County,96.8,Kindergarten,"1012 S Lombard St, Clayton, NC 27520"
911,370237001026,Public,West Smithfield Elementary,Johnston County,91.7,Kindergarten,"2665 Galilee Road, Smithfield, NC 27577"
912,370237002907,Public,West View Elementary,Johnston County,95.8,Kindergarten,"11755 Cleveland Road, Garner, NC 27529"
913,370237001032,Public,Wilson's Mills Elementary,Johnston County,97.2,Kindergarten,"4654 Wilson's Mills Rd, Wilson's Mills, NC 27593"
914,370240001033,Public,Comfort Elementary,Jones County,100.0,Kindergarten,"4384 Hwy 41 West, Comfort, NC 28585"
915,370240001036,Public,Maysville Elementary,Jones County,95.5,Kindergarten,"814 Sixth Street, Maysville, NC 28555"
916,370240001037,Public,Pollocksville Elementary,Jones County,100.0,Kindergarten,"300 Trent St, Pollocksville, NC 28573"
917,370240001038,Public,Trenton Elementary,Jones County,96.2,Kindergarten,"1378 Hwy 58 South, Trenton, NC 28585"
918,370256001074,Public,Broadway Elementary,Lee County,76.8,Kindergarten,"307 S Main St, Broadway, NC 27505"
919,370256002390,Public,BT Bullock Elementary,Lee County,98.7,Kindergarten,"1410 McNeill Road, Sanford, NC 27330"
920,370256001075,Public,Deep River Elementary,Lee County,96.5,Kindergarten,"4000 Deep River Rd, Sanford, NC 27330"
921,132,Private,Grace Christian School,Lee County,95.8,Kindergarten,
922,370256002305,Public,Greenwood Elementary,Lee County,93.6,Kindergarten,"1127 Greenwood Rd, Sanford, NC 27330"
923,370256002209,Public,J Glenn Edwards Elementary,Lee County,97.4,Kindergarten,"3115 Cemetery Rd, Sanford, NC 27332"
924,370256002210,Public,J R Ingram Jr Elementary,Lee County,96.4,Kindergarten,"3309 Wicker St, Sanford, NC 27330"
925,133,Private,Lee Christian School,Lee County,78.3,Kindergarten,
926,370046603530,Charter/Lab,MINA Charter School of Lee County,Lee County,95.1,Kindergarten,"2732 Industrial Drive, Sanford, NC 27332"
927,370256002391,Public,Tramway Elementary,Lee County,97.2,Kindergarten,"360 Center Church Road, Sanford, NC 27330"
928,370256003492,Public,WB Wicker Elementary,Lee County,97.2,Kindergarten,"900 S Vance St, Sanford, NC 27330"
929,134,Private,Arendell Parrott Academy,Lenoir County,93.5,Kindergarten,
930,370261001086,Public,Banks Elementary,Lenoir County,100.0,Kindergarten,"2148 Falling Creek Rd, Kinston, NC 28504"
931,135,Private,Bethel Christian Academy,Lenoir County,97.7,Kindergarten,
932,370261001087,Public,Contentnea-Savannah School,Lenoir County,86.3,Kindergarten,"3400 Ferrell Road, Kinston, NC 28501"
933,136,Private,Hope Preparatory School,Lenoir County,54.2,Kindergarten,
934,370261001089,Public,La Grange Elementary,Lenoir County,97.6,Kindergarten,"402 W Railroad St, La Grange, NC 28551"
935,370261001090,Public,Moss Hill Elementary,Lenoir County,98.4,Kindergarten,"6040 Hwy 55 West, Kinston, NC 28504"
936,370261003143,Public,Northeast Elementary,Lenoir County,88.6,Kindergarten,"1002 E Highland Ave, Kinston, NC 28501"
937,370261000586,Public,Northwest Elementary,Lenoir County,90.3,Kindergarten,"1701 Old Well Rd, Kinston, NC 28504"
938,370261001092,Public,Pink Hill Elementary,Lenoir County,98.4,Kindergarten,"2666 HC Turner Road, Pink Hill, NC 28572"
939,370261000596,Public,Southeast Elementary,Lenoir County,91.2,Kindergarten,"201 McDaniels Street, Kinston, NC 28501"
940,370261001095,Public,Southwood Elementary,Lenoir County,94.9,Kindergarten,"1245 Hwy 58 South, Kinston, NC 28504"
941,370268001108,Public,Battleground Elementary,Lincoln County,95.8,Kindergarten,"301 Jeb Seagle Dr, Lincolnton, NC 28092"
942,370268002163,Public,Catawba Springs Elementary,Lincoln County,85.2,Kindergarten,"206 North Little Egypt Rd, Denver, NC 28037"
943,370268002851,Public,Childers Elementary,Lincoln County,91.4,Kindergarten,"2595 Rock Dam Road, Lincolnton, NC 28092"
944,137,Private,Denver Christian Academy,Lincoln County,64.0,Kindergarten,
945,370268001109,Public,GE Massey Elementary,Lincoln County,93.9,Kindergarten,"130 Newbold St, Lincolnton, NC 28092"
946,370268001113,Public,Iron Station Elementary,Lincoln County,96.7,Kindergarten,"4207 Hwy 27 E, Iron Station, NC 28080"
947,370006202393,Charter/Lab,Lincoln Charter School,Lincoln County,94.7,Kindergarten,"7834 Galway Lane, Denver, NC 28037"
948,138,Private,Lincoln Christian Academy,Lincoln County,41.7,Kindergarten,
949,370268001116,Public,Love Memorial Elementary,Lincoln County,95.3,Kindergarten,"1463 Love Memorial Sch Rd, Lincolnton, NC 28092"
950,370268002197,Public,North Brook Elementary,Lincoln County,54.3,Kindergarten,"642 Hwy 274, Vale, NC 28168"
951,370268002469,Public,Pumpkin Center Primary,Lincoln County,89.3,Kindergarten,"3970 King Wilkinson Road, Lincolnton, NC 28092"
952,370268001121,Public,Rock Springs Elementary,Lincoln County,96.0,Kindergarten,"3633 Hwy 16 N, Denver, NC 28037"
953,370268001122,Public,S Ray Lowder Elementary,Lincoln County,95.8,Kindergarten,"350 Kennedy Dr, Lincolnton, NC 28092"
954,370268002674,Public,St James Elementary,Lincoln County,92.4,Kindergarten,"1774 St James Church Road, Denver, NC 28037"
955,139,Private,Starboard Christian Academy,Lincoln County,68.8,Kindergarten,
956,370268001123,Public,Union Elementary,Lincoln County,92.9,Kindergarten,"4875 Reepsville Rd, Vale, NC 28168"
957,370045303508,Charter/Lab,West Lake Preparatory Academy,Lincoln County,86.0,Kindergarten,"1691 Forney Creek, Denver, NC 28037"
958,370276001134,Public,Cartoogechaye Elementary,Macon County,100.0,Kindergarten,"3295 Old Murphy Road, Franklin, NC 28734"
959,370276001137,Public,East Franklin Elementary,Macon County,92.6,Kindergarten,"100 Watauga St, Franklin, NC 28734"
960,370276001139,Public,Highlands School,Macon County,85.2,Kindergarten,"545 Pierson Dr, Highlands, NC 28741"
961,370276001140,Public,Iotla Valley Elementary,Macon County,83.6,Kindergarten,"1166 Iotla Church Road, Franklin, NC 28734"
962,370276002589,Public,South Macon Elementary,Macon County,96.4,Kindergarten,"855 Addington Bridge Road, Franklin, NC 28734"
963,370282002590,Public,Brush Creek Elementary,Madison County,93.2,Kindergarten,"265 Upper Brush Creek Road, Marshall, NC 28753"
964,370282001151,Public,Hot Springs Elementary,Madison County,91.7,Kindergarten,"63 Serpentine Ave, Hot Springs, NC 28743"
965,370282001154,Public,Mars Hill Elementary,Madison County,93.1,Kindergarten,"200 School House Lane, Mars Hill, NC 28754"
966,140,Private,Woodson Branch Nature School,Madison County,50.0,Kindergarten,
967,370288000812,Public,Jamesville Elementary,Martin County,100.0,Kindergarten,"1220 Hardison St, Jamesville, NC 27846"
968,370288001167,Public,Rodgers Elementary,Martin County,100.0,Kindergarten,"2277 Rodgers School Rd, Williamston, NC 27892"
969,370288001160,Public,South Creek Elementary,Martin County,96.8,Kindergarten,"21230 NC Hwy 903, Robersonville, NC 27871"
970,370288001171,Public,Williamston Primary,Martin County,90.0,Kindergarten,"400 West Blvd, Williamston, NC 27892"
971,370294001176,Public,Eastfield Global Magnet School,McDowell County,100.0,Kindergarten,"170 Eastfield School Road, Marion, NC 28752"
972,370294001177,Public,Glenwood Elementary School,McDowell County,94.3,Kindergarten,"1545 Old Hwy 221 South, Marion, NC 28752"
973,370294001178,Public,Marion Elementary School,McDowell County,90.0,Kindergarten,"209 Robert Street, Marion, NC 28752"
974,370294001180,Public,Nebo Elementary School,McDowell County,96.2,Kindergarten,"254 Nebo School Road, Nebo, NC 28761"
975,141,Private,New Manna Christian School,McDowell County,94.4,Kindergarten,
976,370294001181,Public,North Cove Elementary School,McDowell County,91.9,Kindergarten,"401 American Thread Road, Marion, NC 28752"
977,370294001182,Public,Old Fort Elementary School,McDowell County,100.0,Kindergarten,"128 Mauney Avenue, Old Fort, NC 28762"
978,370294001183,Public,Pleasant Gardens Elementary School,McDowell County,97.8,Kindergarten,"100 John Roach Drive, Marion, NC 28752"
979,370294001184,Public,West Marion Elementary School,McDowell County,94.9,Kindergarten,"820 Marler Road, Marion, NC 28752"
980,370297001186,Public,Albemarle Road Elementary,Mecklenburg County,89.6,Kindergarten,"7800 Riding Trail Rd, Charlotte, NC 28212"
981,370297001190,Public,Allenbrook Elementary,Mecklenburg County,91.2,Kindergarten,"1430 Allenbrook Dr, Charlotte, NC 28208"
982,370035003296,Charter/Lab,American Leadership Academy Charlotte,Mecklenburg County,100.0,Kindergarten,"8000 Robinson Church Road, Charlotte, NC 28215"
983,142,Private,Anami Montessori School,Mecklenburg County,84.6,Kindergarten,
984,370297001192,Public,Ashley Park PreK-8 School,Mecklenburg County,96.2,Kindergarten,"2401 Belfast Dr, Charlotte, NC 28208"
985,370297001193,Public,Bain Elementary,Mecklenburg County,88.6,Kindergarten,"11540 Bain School Rd, Mint Hill, NC 28227"
986,370297003026,Public,Ballantyne Elementary,Mecklenburg County,92.3,Kindergarten,"15425 Scholastic Dr, Charlotte, NC 28277"
987,370297003023,Public,Barnette Elementary,Mecklenburg County,98.4,Kindergarten,"13659 Beatties Ford Rd, Huntersville, NC 28078"
988,370297003103,Public,Berewick Elementary,Mecklenburg County,93.5,Kindergarten,"5910 Dixie River Rd, Charlotte, NC 28278"
989,370297001195,Public,Berryhill School,Mecklenburg County,95.3,Kindergarten,"10501 Windy Grove Rd, Charlotte, NC 28278"
990,370297001196,Public,Beverly Woods Elementary,Mecklenburg County,95.2,Kindergarten,"6001 Quail Hollow Rd, Charlotte, NC 28210"
991,370297001201,Public,Billingsville Elementary,Mecklenburg County,89.5,Kindergarten,"124 Skyland Ave, Charlotte, NC 28205"
992,370297002397,Public,Blythe Elementary,Mecklenburg County,92.6,Kindergarten,"12202 Hambright Rd, Huntersville, NC 28078"
993,370044903503,Charter/Lab,Bonnie Cone Classical Academy,Mecklenburg County,91.1,Kindergarten,"10700 Asbury Chapel Road, Huntersville, NC 28078"
994,370047903617,Charter/Lab,Bonnie Cone Leadership Academy,Mecklenburg County,91.0,Kindergarten,"16115 Poplar Tent Road, Huntersville, NC 28078"
995,370035603329,Charter/Lab,Bradford Preparatory School,Mecklenburg County,92.8,Kindergarten,"2502 Salome Church Rd, Charlotte, NC 28262"
996,370297001198,Public,Briarwood Academy,Mecklenburg County,78.0,Kindergarten,"1001 Wilann Dr, Charlotte, NC 28215"
997,143,Private,British International Sch. of Charlotte,Mecklenburg County,66.7,Kindergarten,
998,144,Private,Brookstone Schools,Mecklenburg County,93.3,Kindergarten,
999,370297001253,Public,Bruns Avenue Elementary,Mecklenburg County,90.7,Kindergarten,"501 S. Bruns Ave, Charlotte, NC 28208"
1000,145,Private,Calvary Christian Academy,Mecklenburg County,88.0,Kindergarten,
1001,146,Private,Carmel Christian School,Mecklenburg County,84.5,Kindergarten,
1002,370297002782,Public,Chantilly Montessori,Mecklenburg County,92.9,Kindergarten,"701 Briar Creek Rd, Charlotte, NC 28205"
1003,370297001194,Public,Charles H. Parker Academic Center,Mecklenburg County,94.7,Kindergarten,"1546 Walton Rd, Charlotte, NC 28208"
1004,147,Private,Charlotte Christian School,Mecklenburg County,98.7,Kindergarten,
1005,148,Private,Charlotte Country Day School,Mecklenburg County,100.0,Kindergarten,
1006,370297003467,Public,Charlotte East Language Academy,Mecklenburg County,97.3,Kindergarten,"6108 Wilora Lake Rd, Charlotte, NC 28212"
1007,149,Private,Charlotte Jewish Day School,Mecklenburg County,100.0,Kindergarten,
1008,370039103375,Charter/Lab,Charlotte Lab School,Mecklenburg County,96.3,Kindergarten,"2045 Suttle Avenue, Charlotte, NC 28208"
1009,150,Private,Charlotte Latin School,Mecklenburg County,96.9,Kindergarten,
1010,151,Private,Charlotte Preparatory School,Mecklenburg County,100.0,Kindergarten,
1011,370297001202,Public,Clear Creek Elementary,Mecklenburg County,91.4,Kindergarten,"13501 Albemarle Rd, Charlotte, NC 28227"
1012,370297001204,Public,Collinswood Language Academy,Mecklenburg County,92.6,Kindergarten,"5621 Flagstaff Drive, Charlotte, NC 28210"
1013,370013502736,Charter/Lab,Community School of Davidson,Mecklenburg County,88.0,Kindergarten,"404 Armour Street, Davidson, NC 28036"
1014,370297001205,Public,Cornelius Elementary,Mecklenburg County,89.2,Kindergarten,"21126 Catawba Ave, Cornelius, NC 28031"
1015,370032703258,Charter/Lab,Corvian Community School,Mecklenburg County,95.3,Kindergarten,"4041 Johnston Oehler Road, Charlotte, NC 28269"
1016,152,Private,Covenant Day School,Mecklenburg County,87.5,Kindergarten,
1017,370297003034,Public,Croft Community School,Mecklenburg County,95.3,Kindergarten,"4911 Hucks Rd, Charlotte, NC 28269"
1018,370297000813,Public,Crown Point Elementary,Mecklenburg County,85.1,Kindergarten,"3335 Sam Newell Rd, Matthews, NC 28105"
1019,370297000868,Public,David Cox Road Elementary,Mecklenburg County,83.8,Kindergarten,"4215 David Cox Rd, Charlotte, NC 28269"
1020,153,Private,Davidson Day School,Mecklenburg County,93.3,Kindergarten,
1021,370297001208,Public,Davidson K-8 School,Mecklenburg County,97.7,Kindergarten,"635 South St, Davidson, NC 28036"
1022,370297001210,Public,Devonshire Elementary,Mecklenburg County,79.1,Kindergarten,"6500 Barrington Dr, Charlotte, NC 28215"
1023,370297001268,Public,Dilworth Elem Sedgefield Campus,Mecklenburg County,99.0,Kindergarten,"715 Hartford Ave, Charlotte, NC 28209"
1024,370297001213,Public,Druid Hills Academy,Mecklenburg County,96.2,Kindergarten,"2801 Lucena Ave, Charlotte, NC 28206"
1025,370042403453,Charter/Lab,East Voyager Academy of Charlotte,Mecklenburg County,91.3,Kindergarten,"7429 Tuckaseegee Rd., Charlotte, NC 28214"
1026,370297001215,Public,Eastover Elementary,Mecklenburg County,92.5,Kindergarten,"500 Cherokee Rd, Charlotte, NC 28207"
1027,370297001881,Public,Elizabeth Lane Elementary,Mecklenburg County,97.6,Kindergarten,"121 Elizabeth Ln, Matthews, NC 28105"
1028,370297001217,Public,Elizabeth Traditional Elem,Mecklenburg County,98.6,Kindergarten,"1601 Park Dr, Charlotte, NC 28204"
1029,370297002826,Public,Elon Park Elementary,Mecklenburg County,94.8,Kindergarten,"11425 Ardrey Kell Rd, Charlotte, NC 28277"
1030,370297002675,Public,Endhaven Elementary,Mecklenburg County,96.1,Kindergarten,"6815 Endhaven Ln, Charlotte, NC 28277"
1031,370297003650,Public,Esperanza Global Academy,Mecklenburg County,90.9,Kindergarten,"5932 Farm Pond Lane, Charlotte, NC 28212"
1032,370297001211,Public,First Ward Creative Arts Academy,Mecklenburg County,86.2,Kindergarten,"715 N. Caldwell St, Charlotte, NC 28202"
1033,370297001886,Public,Gov's Village STEM (Lower),Mecklenburg County,90.6,Kindergarten,"7910 Neal Rd, Charlotte, NC 28262"
1034,154,Private,Grace Covenant Academy,Mecklenburg County,69.4,Kindergarten,
1035,370297003273,Public,Grand Oak Elementary,Mecklenburg County,94.1,Kindergarten,"15410 Stumptown Rd, Huntersville, NC 28078"
1036,370297001598,Public,Greenway Park Elementary,Mecklenburg County,98.7,Kindergarten,"8301 Monroe Rd, Charlotte, NC 28212"
1037,370297003649,Public,Grove Park Elementary School,Mecklenburg County,74.7,Kindergarten,"7515 The Plaza, Charlotte, NC 28215"
1038,370297002471,Public,Hawk Ridge Elementary,Mecklenburg County,89.3,Kindergarten,"9201 Bryant Farms Rd, Charlotte, NC 28277"
1039,155,Private,Hickory Grove Christian School,Mecklenburg County,83.7,Kindergarten,
1040,370297001223,Public,Hickory Grove Elementary,Mecklenburg County,90.3,Kindergarten,"6709 Pence Rd, Charlotte, NC 28215"
1041,370297002877,Public,Highland Creek Elementary,Mecklenburg County,97.2,Kindergarten,"7242 Highland Creek Pkwy, Charlotte, NC 28269"
1042,370297002638,Public,Highland Mill Montessori,Mecklenburg County,96.2,Kindergarten,"3201 Clemson Ave, Charlotte, NC 28205"
1043,370297001225,Public,Highland Renaissance Academy,Mecklenburg County,91.7,Kindergarten,"125 W Craighead Rd, Charlotte, NC 28206"
1044,370297002309,Public,Hornets Nest Elementary,Mecklenburg County,96.9,Kindergarten,"6700 Beatties Ford Rd, Charlotte, NC 28216"
1045,370297001226,Public,Huntersville Elementary,Mecklenburg County,90.2,Kindergarten,"200 Gilead Rd, Huntersville, NC 28078"
1046,370297001227,Public,Huntingtowne Farms Elementary,Mecklenburg County,85.4,Kindergarten,"2520 Huntingtowne Farms Ln, Charlotte, NC 28210"
1047,370297001228,Public,Idlewild Elementary,Mecklenburg County,82.1,Kindergarten,"7101 Idlewild Rd, Charlotte, NC 28212"
1048,156,Private,ILIM SCHOOL,Mecklenburg County,93.3,Kindergarten,
1049,157,Private,Intellicor International Academy,Mecklenburg County,95.7,Kindergarten,
1050,370297001231,Public,J. H. Gunn Elementary,Mecklenburg County,93.6,Kindergarten,"7400 Harrisburg Rd, Charlotte, NC 28215"
1051,370297002891,Public,J.V. Washam Elementary,Mecklenburg County,94.1,Kindergarten,"9611 Westmoreland Rd, Cornelius, NC 28031"
1052,370044103465,Charter/Lab,Jackson Day School,Mecklenburg County,96.2,Kindergarten,"1209 Little Rock Rd, Charlotte, NC 28214"
1053,370297002676,Public,Joseph W Grier Academy,Mecklenburg County,85.2,Kindergarten,"8330 Grier Rd, Charlotte, NC 28215"
1054,158,Private,Kids R Kids School,Mecklenburg County,75.0,Kindergarten,
1055,370006402399,Charter/Lab,Lake Norman Charter,Mecklenburg County,94.2,Kindergarten,"12435 Old Statesville Road, Huntersville, NC 28078"
1056,370297000614,Public,Lake Wylie Elementary,Mecklenburg County,97.6,Kindergarten,"13620 Erwin Rd, Charlotte, NC 28273"
1057,370037103335,Charter/Lab,Lakeside Charter Academy,Mecklenburg County,88.5,Kindergarten,"17609 Old Statesville Rd, Cornelius, NC 28031"
1058,370297001234,Public,Lansdowne Elementary,Mecklenburg County,94.3,Kindergarten,"6400 Prett Ct, Charlotte, NC 28270"
1059,370297003363,Public,Lawrence Orr Elementary,Mecklenburg County,88.0,Kindergarten,"4835 Shamrock Dr, Charlotte, NC 28215"
1060,370297002266,Public,Lebanon Road Elementary,Mecklenburg County,95.6,Kindergarten,"7300 Lebanon Rd, Charlotte, NC 28227"
1061,370297003311,Public,Lincoln Heights Montessori,Mecklenburg County,85.0,Kindergarten,"1900 New Castle St, Charlotte, NC 28216"
1062,370297001236,Public,Long Creek Elementary,Mecklenburg County,82.4,Kindergarten,"9213-A Beatties Ford Rd, Huntersville, NC 28078"
1063,370297002198,Public,Mallard Creek Elementary,Mecklenburg County,87.6,Kindergarten,"9801 Mallard Creek Rd, Charlotte, NC 28262"
1064,370041003390,Charter/Lab,Mallard Creek STEM Academy,Mecklenburg County,97.1,Kindergarten,"9142 Browne Rd, Charlotte, NC 28269"
1065,370297003420,Public,Marie G Davis School,Mecklenburg County,94.6,Kindergarten,"3351 Griffith St, Charlotte, NC 28203"
1066,370040503392,Charter/Lab,Matthews Charter Academy,Mecklenburg County,85.9,Kindergarten,"2332 Mount Harmony Church Rd., Matthews, NC 28104"
1067,159,Private,Matthews Christian Academy,Mecklenburg County,77.8,Kindergarten,
1068,370297001238,Public,Matthews Elementary,Mecklenburg County,91.5,Kindergarten,"200 E McDowell St, Matthews, NC 28105"
1069,370297002166,Public,McAlpine Elementary,Mecklenburg County,87.0,Kindergarten,"9100 Carswell Ln, Charlotte, NC 28277"
1070,370297002219,Public,McKee Road Elementary,Mecklenburg County,93.8,Kindergarten,"4101 McKee Rd, Charlotte, NC 28270"
1071,370297002167,Public,Merry Oaks International Academy,Mecklenburg County,87.8,Kindergarten,"3508 Draper Ave, Charlotte, NC 28205"
1072,370010702530,Charter/Lab,Metrolina Reg Scholars Academy,Mecklenburg County,91.7,Kindergarten,"5225 Seventy-Seven Center Dr, Charlotte, NC 28217"
1073,370297003623,Public,Mint Hill Elementary School,Mecklenburg County,89.0,Kindergarten,"11615 Idlewild Road, Matthews, NC 28105"
1074,370297001243,Public,Montclaire Elementary,Mecklenburg County,74.2,Kindergarten,"5801 Farmbrook Dr, Charlotte, NC 28210"
1075,370297002640,Public,Mountain Island Lake Academy,Mecklenburg County,84.6,Kindergarten,"7905 Pleasant Grove Rd, Charlotte, NC 28216"
1076,370041103431,Charter/Lab,Movement Charter School,Mecklenburg County,76.1,Kindergarten,"2701-B  Freedom Dr, Charlotte, NC 28208"
1077,370048503630,Charter/Lab,Movement School Southwest,Mecklenburg County,94.4,Kindergarten,"150 Osprey Point Dr., Charlotte, NC 28217"
1078,370297001245,Public,Myers Park Traditional Elem,Mecklenburg County,96.5,Kindergarten,"2132 Radcliffe Ave, Charlotte, NC 28207"
1079,370297001247,Public,Newell Elementary,Mecklenburg County,89.7,Kindergarten,"325 Rocky River Road West, Charlotte, NC 28213"
1080,370044303493,Charter/Lab,Niner University Elementary,Mecklenburg County,100.0,Kindergarten,"2414 Lester Street, Charlotte, NC 28208"
1081,370297003557,Public,North Academy of World Languages,Mecklenburg County,92.1,Kindergarten,"12201 Hambright Rd, Huntersville, NC 28078"
1082,370297001251,Public,Oakdale Elementary,Mecklenburg County,92.1,Kindergarten,"1825 Oakdale Rd, Charlotte, NC 28216"
1083,370297003368,Public,Oakhurst STEAM Academy,Mecklenburg County,86.2,Kindergarten,"4511 Monroe Rd, Charlotte, NC 28205"
1084,370297002737,Public,Oaklawn Language Academy,Mecklenburg County,95.8,Kindergarten,"1810 Oaklawn Ave, Charlotte, NC 28216"
1085,370297001254,Public,Olde Providence Elementary,Mecklenburg County,98.2,Kindergarten,"3800 Rea Rd, Charlotte, NC 28226"
1086,160,Private,Omni Montessori School,Mecklenburg County,85.7,Kindergarten,
1087,161,Private,Our Lady of Assumption Cath Sch,Mecklenburg County,100.0,Kindergarten,
1088,162,Private,Palisades Episcopal School,Mecklenburg County,90.7,Kindergarten,
1089,370297003310,Public,Palisades Park Elementary,Mecklenburg County,84.2,Kindergarten,"15321 York Rd, Charlotte, NC 28278"
1090,370297001256,Public,Park Road Montessori,Mecklenburg County,90.1,Kindergarten,"3701 Haven Dr, Charlotte, NC 28209"
1091,370297003369,Public,Parkside Elementary,Mecklenburg County,98.0,Kindergarten,"2945 Johnston-Oehler Rd, Charlotte, NC 28269"
1092,370297001257,Public,Paw Creek Elementary,Mecklenburg County,95.9,Kindergarten,"1300 Cathey Rd, Charlotte, NC 28214"
1093,163,Private,Phoenix Montessori Academy,Mecklenburg County,78.3,Kindergarten,
1094,370297001260,Public,Pineville Elementary,Mecklenburg County,83.5,Kindergarten,"204 Lowry St, Pineville, NC 28134"
1095,370297001261,Public,Pinewood Elementary,Mecklenburg County,80.9,Kindergarten,"805 Seneca Pl, Charlotte, NC 28210"
1096,370297001262,Public,Piney Grove Elementary,Mecklenburg County,100.0,Kindergarten,"8801 Eaglewind Dr, Charlotte, NC 28212"
1097,370035903337,Charter/Lab,Pioneer Springs Community School,Mecklenburg County,73.1,Kindergarten,"9232 Bob Beatty Rd., Charlotte, NC 28269"
1098,370297003032,Public,Polo Ridge Elementary,Mecklenburg County,96.9,Kindergarten,"11830 Tom Short Rd, Charlotte, NC 28277"
1099,164,Private,Providence Day School,Mecklenburg County,100.0,Kindergarten,
1100,370297002642,Public,Providence Spring Elementary,Mecklenburg County,97.8,Kindergarten,"10045 Providence Church Ln, Charlotte, NC 28277"
1101,370012702612,Charter/Lab,Queen's Grant Community School,Mecklenburg County,89.5,Kindergarten,"6400 Matthews Mint Hill Road, Mint Hill, NC 28227"
1102,370297001265,Public,Rama Road Elementary,Mecklenburg County,92.2,Kindergarten,"1035 Rama Rd, Charlotte, NC 28211"
1103,370297003517,Public,Rea Farms STEAM Academy,Mecklenburg County,95.3,Kindergarten,"11532 Golf Links Drive, Charlotte, NC 28277"
1104,370297002170,Public,Reedy Creek Elementary,Mecklenburg County,89.6,Kindergarten,"10801 Plaza Rd Ext, Charlotte, NC 28215"
1105,370297001212,Public,Reid Park Academy,Mecklenburg County,88.9,Kindergarten,"4108 W Tyvola Rd, Charlotte, NC 28208"
1106,370297003417,Public,Renaissance West STEAM Academy,Mecklenburg County,76.7,Kindergarten,"3241 New Renaissance Way, Charlotte, NC 28208"
1107,370297003123,Public,River Gate Elementary,Mecklenburg County,90.3,Kindergarten,"15340 Smith Rd, Charlotte, NC 28273"
1108,370297003128,Public,River Oaks Academy,Mecklenburg County,98.5,Kindergarten,"1015 Mt Holly-Huntersville Rd, Charlotte, NC 28214"
1109,370297001270,Public,Selwyn Elementary,Mecklenburg County,94.4,Kindergarten,"2840 Colony Rd, Charlotte, NC 28211"
1110,370297001271,Public,Shamrock Gardens Elementary,Mecklenburg County,94.9,Kindergarten,"3301 Country Club Drive, Charlotte, NC 28205"
1111,370297001272,Public,Sharon Elementary,Mecklenburg County,97.2,Kindergarten,"4330 Foxcroft Rd, Charlotte, NC 28211"
1112,370297000889,Public,Smithfield Elementary,Mecklenburg County,88.2,Kindergarten,"3200 Smithfield Church Rd, Charlotte, NC 28210"
1113,370013702786,Charter/Lab,Socrates Academy,Mecklenburg County,97.2,Kindergarten,"3909 Weddington Rd, Matthews, NC 28105"
1114,370297001273,Public,South Academy of International Languages,Mecklenburg County,93.2,Kindergarten,"8300 Nations Ford Rd, Charlotte, NC 28217"
1115,370297003558,Public,South Pine Academy,Mecklenburg County,74.6,Kindergarten,"2541 Sandy Porter Rd, Charlotte, NC 28273"
1116,165,Private,Southlake Christian Academy,Mecklenburg County,92.9,Kindergarten,
1117,370044603504,Charter/Lab,Southwest Charlotte STEM Academy,Mecklenburg County,95.6,Kindergarten,"5203 Shopton Rd, Charlotte, NC 28278"
1118,166,Private,St. Ann Catholic School,Mecklenburg County,89.8,Kindergarten,
1119,167,Private,St. Gabriel Catholic School,Mecklenburg County,98.0,Kindergarten,
