Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
,,HIGHLAND ELEMENTARY,,Anoka,92.31,Kindergarten
,,IMMACULATE CONCEPTION,,Anoka,95.0,Kindergarten
,,NORTH PARK ELEMENTARY,,Anoka,88.89,Kindergarten
,,VALLEY VIEW ELEMENTARY,,Anoka,98.0,Kindergarten
,,COMMUNITY OF PEACE ACADEMY ELEMENTARY,,Ramsey,73.02,Kindergarten
,,COMMUNITY SCHOOL OF EXCELLENCE - ELEMENTARY,,Ramsey,85.83,Kindergarten
,,LIFE PREP SCHOOL/FORMERLY CONCORDIA CREATIVE LEARNING ACADEMY,,Ramsey,78.57,Kindergarten
,,SAWTOOTH MOUNTAIN ELEMENTARY,,Cook,89.47,Kindergarten
,,CORNERSTONE MONTESSORI EL.,,Ramsey,71.43,Kindergarten
,,CREEKSTONE MONTESSORI,,Goodhue,80.0,Kindergarten
,,CROMWELL-WRIGHT EL.,,Carlton,83.33,Kindergarten
,,HIGHLAND EL.,,Polk,91.21,Kindergarten
,,CUYUNA RANGE EL.,,Crow Wing,85.71,Kindergarten
,,CROSSLAKE COMMUNITY CHARTER SCHOOL,,Crow Wing,74.07,Kindergarten
,,COKATO EL.,,Wright,60.26,Kindergarten
,,DASSEL EL.,,Meeker,70.0,Kindergarten
,,DAVINCI ACADEMY,,Anoka,88.0,Kindergarten
,,STEVENS ELEMENTARY,,Lac Qui Parle,87.04,Kindergarten
,,KING EL.,,Itasca,74.47,Kindergarten
,,DELANO EL.,,Wright,89.24,Kindergarten
,,MT OLIVE LUTHERAN,,Wright,40.0,Kindergarten
,,ST MAXIMILIAN KOLBE,,Wright,54.55,Kindergarten
,,HOLY ROSARY,,Becker,76.47,Kindergarten
,,ROOSEVELT EL.,,Becker,92.86,Kindergarten
,,ROSSMAN EL.,,Becker,87.34,Kindergarten
,,DILWORTH-GLYNDON-FELTON ELEMENTARY,,Clay,86.67,Kindergarten
,,DISCOVERY CHARTER SCHOOL,,Dakota,80.0,Kindergarten
,,DOVER-EYOTA EL.,,Olmsted,87.88,Kindergarten
,,CONGDON PARK EL.,,St. Louis,98.0,Kindergarten
,,HOMECROFT EL.,,St. Louis,94.19,Kindergarten
,,LAKEVIEW CHRISTIAN ACADEMY,,St. Louis,80.0,Kindergarten
,,LAKEWOOD EL.,,St. Louis,98.0,Kindergarten
,,LAURA MACARTHUR EL.,,St. Louis,89.74,Kindergarten
,,LESTER PARK EL.,,St. Louis,96.59,Kindergarten
,,LOWELL EL.,,St. Louis,93.02,Kindergarten
,,LOWELL ELEMENTARY SPANISH IMMERSION,,St. Louis,88.89,Kindergarten
,,MANY RIVERS MONTESSORI,,St. Louis,80.95,Kindergarten
,,MYERS-WILKINS ELEMENTARY,,St. Louis,91.25,Kindergarten
,,PIEDMONT EL.,,St. Louis,97.47,Kindergarten
,,STELLA MARIS ACADEMY-HOLY ROSARY CAMPUS,,St. Louis,96.43,Kindergarten
,,STELLA MARIS ACADEMY-ST. JAMES CAMPUS,,St. Louis,91.67,Kindergarten
,,STOWE EL.,,St. Louis,97.22,Kindergarten
,,NORTH STAR,,St. Louis,86.96,Kindergarten
,,RALEIGH EDISON CHARTER SCHOOL,,St. Louis,83.33,Kindergarten
,,EAGLE RIDGE ACADEMY CHARTER SCHOOL,,Hennepin,84.67,Kindergarten
,,EAST CENTRAL EL.,,Pine,84.78,Kindergarten
,,NEW HEIGHTS EL.,,Polk,94.63,Kindergarten
,,RIVERSIDE CHRISTIAN SCHOOL,,Polk,64.71,Kindergarten
,,SACRED HEART ELEMENTARY,,Polk,97.37,Kindergarten
,,CEDAR RIDGE EL.,,Hennepin,88.31,Kindergarten
,,EAGLE HEIGHTS SPANISH IMMERSION SCHOOL,,Hennepin,92.65,Kindergarten
,,EDEN LAKE EL.,,Hennepin,73.2,Kindergarten
,,FOREST HILLS EL.,,Hennepin,73.83,Kindergarten
,,OAK POINT EL.,,Hennepin,70.83,Kindergarten
,,PRAIRIE VIEW EL.,,Hennepin,73.17,Kindergarten
,,EDEN VALLEY EL.,,Meeker,91.3,Kindergarten
,,WATKINS EL.,,Meeker,82.61,Kindergarten
,,EDGERTON PUBLIC ELEMENTARY,,Pipestone,91.67,Kindergarten
,,SOUTHWEST CHRISTIAN ELEMENTARY,,Pipestone,81.82,Kindergarten
,,AVAIL ACADEMY,,Hennepin,71.43,Kindergarten
,,CONCORD EL.,,Hennepin,93.52,Kindergarten
,,CORNELIA EL.,,Hennepin,89.87,Kindergarten
,,COUNTRYSIDE EL.,,Hennepin,94.29,Kindergarten
,,CREEK VALLEY EL.,,Hennepin,84.52,Kindergarten
,,HIGHLANDS EL.,,Hennepin,91.57,Kindergarten
,,NORMANDALE EL.,,Hennepin,97.17,Kindergarten
,,OUR LADY OF GRACE,,Hennepin,93.07,Kindergarten
,,HASSAN ELEMENTARY,,Hennepin,86.36,Kindergarten
,,LINCOLN ELEMENTARY,,Sherburne,95.96,Kindergarten
,,MARY QUEEN OF PEACE CATHOLIC SCHOOL,,Hennepin,81.82,Kindergarten
,,MEADOWVALE EL.,,Sherburne,81.01,Kindergarten
,,OTSEGO EL.,,Wright,90.35,Kindergarten
,,PARKER ELEMENTARY,,Sherburne,90.41,Kindergarten
,,PRARIE VIEW ELEMENTARY SCHOOL,,Wright,90.65,Kindergarten
,,ROGERS EL.,,Hennepin,91.47,Kindergarten
,,ST ANDREWS CATHOLIC SCHOOL,,Sherburne,82.61,Kindergarten
,,ST JOHNS LUTHERAN,,Anoka,28.57,Kindergarten
,,TWIN LAKES ELEMENTARY,,Sherburne,89.74,Kindergarten
,,ZIMMERMAN EL.,,Sherburne,87.41,Kindergarten
,,WASHINGTON EL.,,St. Louis,87.5,Kindergarten
,,ESCUELA EXITOS CHARTER SCHOOL,,Hennepin,65.0,Kindergarten
,,WINTERQUIST EL.,,Carlton,93.75,Kindergarten
,,EXCELL ACADEMY CHARTER,,Hennepin,75.76,Kindergarten
,,FAIRMONT ELEMENTARY,,Martin,87.74,Kindergarten
,,ST PAULS LUTHERAN-FAIRMONT,,Martin,54.55,Kindergarten
,,DIVINE MERCY CATHOLIC SCHOOL,,Rice,84.62,Kindergarten
,,FARIBAULT LUTHERAN,,Rice,68.42,Kindergarten
,,ROOSEVELT EARLY LEARNING CENTER,,Rice,69.46,Kindergarten
,,AKIN ROAD EL.,,Dakota,94.29,Kindergarten
,,FARMINGTON EL.,,Dakota,90.32,Kindergarten
,,MEADOWVIEW ELEMENTARY SCHOOL,,Dakota,94.25,Kindergarten
,,NORTH TRAIL EL.,,Dakota,83.1,Kindergarten
,,RIVERVIEW ELEMENTARY,,Dakota,93.75,Kindergarten
,,LINCOLN SCHOOL,,Otter Tail,89.6,Kindergarten
,,HILLCREST LUTHERAN ACADEMY,,Otter Tail,86.67,Kindergarten
,,IQ ACADEMY,,Otter Tail,50.0,Kindergarten
,,OUR LADY OF VICTORY,,Otter Tail,95.0,Kindergarten
,,FERTILE-BELTRAMI EL.,,Polk,80.0,Kindergarten
,,FILLMORE CENTRAL EL.,,Fillmore,94.44,Kindergarten
,,FISHER PUBLIC SCHOOL,,Polk,76.47,Kindergarten
,,FIT ACADEMY,,Dakota,70.37,Kindergarten
,,FLOODWOOD ELEMENTARY,,St. Louis,83.33,Kindergarten
,,FOLEY ELEMENTARY,,Benton,78.26,Kindergarten
,,ST JOHN,,Benton,76.92,Kindergarten
,,FOND DU LAC OJIBWE,,Carlton,93.75,Kindergarten
,,COLUMBUS EL.,,Anoka,91.3,Kindergarten
,,FOREST VIEW EL.,,Washington,89.19,Kindergarten
,,LINO LAKES EL.,,Anoka,87.88,Kindergarten
,,LINWOOD EL.,,Anoka,82.81,Kindergarten
,,SCANDIA EL.,,Washington,83.72,Kindergarten
,,ST PETER,,Washington,60.0,Kindergarten
,,WYOMING EL.,,Chisago,92.5,Kindergarten
,,MAGELSSEN EL.,,Polk,66.67,Kindergarten
,,FRAZEE EL.,,Becker,97.3,Kindergarten
,,AL-AMAL SCHOOL,,Anoka,57.89,Kindergarten
,,HAYES EL.,,Anoka,70.67,Kindergarten
,,STEVENSON EL.,,Anoka,85.34,Kindergarten
,,WOODCREST BAPTIST ACADEMY,,Anoka,50.0,Kindergarten
,,FRIENDSHIP ACDMY OF FINE ARTS CHTR,,Hennepin,61.11,Kindergarten
,,FULDA EL.,,Murray,95.0,Kindergarten
,,G.F.W. EL.,,Sibley,76.09,Kindergarten
,,GATEWAY STEM ACADEMY CHARTER SCHOOL,,Dakota,23.53,Kindergarten
,,GLACIAL HILLS ELEMENTARY,,Pope,70.0,Kindergarten
,,FIRST EV LUTHERAN,,Mcleod,86.67,Kindergarten
,,LINCOLN EL.,,Mcleod,84.04,Kindergarten
,,GLENVILLE EMMONS E.,,Freeborn,91.3,Kindergarten
,,GLOBAL ACADEMY,,Ramsey,68.09,Kindergarten
,,GOODHUE PUBLIC SCHOOL,,Goodhue,86.67,Kindergarten
,,GOODRIDGE EL.,,Pennington,95.0,Kindergarten
,,GRANADA-HUNTLEY EAST CHAIN,,Martin,77.78,Kindergarten
,,GRAND MEADOW ELEMENTARY,,Mower,93.02,Kindergarten
,,BIGFORK EL.,,Itasca,66.67,Kindergarten
,,COHASSET EL.,,Itasca,86.49,Kindergarten
,,LIGHTHOUSE CHRISTIAN ACADEMY,,Itasca,57.89,Kindergarten
,,ST JOSEPH,,Itasca,95.0,Kindergarten
,,WEST RAPIDS ELEMENTARY,,Itasca,81.7,Kindergarten
,,GREAT OAKS ACADEMY SCHOOL OF GRAMMAR,,Dakota,66.67,Kindergarten
,,GREENBUSH EL.,,Roseau,92.86,Kindergarten
,,VANDYKE EL.,,Itasca,87.95,Kindergarten
,,GRYGLA EL.,,Marshall,95.0,Kindergarten
,,HOPE COMMUNITY ACADEMY ELEMENTARY,,Ramsey,97.92,Kindergarten
,,HANCOCK EL.,,Stevens,76.32,Kindergarten
,,CHRISTA MCAULIFFE EL.,,Dakota,92.13,Kindergarten
,,KENNEDY EL.,,Dakota,94.85,Kindergarten
,,PINE HARBOR CHRISTIAN ACADEMY,,Dakota,94.44,Kindergarten
,,PINECREST EL.,,Dakota,94.74,Kindergarten
,,ST ELIZABETH ANN SETON,,Dakota,75.0,Kindergarten
,,ST JOHN THE BAPTIST-VERMILLION,,Dakota,75.0,Kindergarten
,,HAWLEY EL.,,Clay,97.47,Kindergarten
,,HAYFIELD EL.,,Dodge,93.62,Kindergarten
,,HENNEPIN ELEMENTARY SCHOOL,,Hennepin,50.0,Kindergarten
,,HENNING SCHOOL,,Otter Tail,95.0,Kindergarten
,,HERMANTOWN EL.,,St. Louis,89.52,Kindergarten
,,HERON LAKE-OKABENA EL.,,Jackson,90.91,Kindergarten
,,HIAWATHA LEADERSHIP ACADEMY-NORTHROP,,Hennepin,78.95,Kindergarten
,,ASSUMPTION,,St. Louis,85.71,Kindergarten
,,VICTORY CHRISTIAN ACADEMY,,St. Louis,76.92,Kindergarten
,,HIGHER GROUND ACADEMY - ELEMENTARY,,Ramsey,25.33,Kindergarten
,,HILL CITY EL.,,Aitkin,73.91,Kindergarten
,,HILLS-BEAVER CREEK EL.,,Rock,95.0,Kindergarten
,,HINCKLEY EL.,,Pine,88.57,Kindergarten
,,HMONG COLLEGE PREP ACADEMY ELEM,,Ramsey,93.75,Kindergarten
,,HOLDINGFORD EL.,,Stearns,86.76,Kindergarten
,,AGAPE CHRISTI ACADEMY,,Hennepin,60.0,Kindergarten
,,ALICE SMITH EL.,,Hennepin,77.97,Kindergarten
,,BLAKE LOWER SCHOOL-HOPKINS CAMPUS,,Hennepin,94.55,Kindergarten
,,BRECK,,Hennepin,92.75,Kindergarten
,,EISENHOWER EL.,,Hennepin,83.91,Kindergarten
,,GATEWOOD EL.,,Hennepin,68.63,Kindergarten
,,GLEN LAKE EL.,,Hennepin,92.96,Kindergarten
,,GOOD SHEPHERD CATHOLIC SCHOOL,,Hennepin,94.12,Kindergarten
,,INTERNATIONAL SCHOOL OF MINNESOTA,,Hennepin,84.0,Kindergarten
,,L.H. TANGLEN EL.,,Hennepin,80.82,Kindergarten
,,MEADOWBROOK EL.,,Hennepin,95.08,Kindergarten
,,NOTRE DAME ACADEMY,,Hennepin,91.3,Kindergarten
,,XINXING ACADEMY,,Hennepin,95.0,Kindergarten
,,HORIZON SCIENCE ACADEMY TWIN CITIES,,Hennepin,33.33,Kindergarten
,,HOUSTON EL.,,Houston,79.31,Kindergarten
,,MINNESOTA VIRTUAL ACADEMY,,Houston,46.43,Kindergarten
,,HOLY TRINITY,,Mcleod,50.0,Kindergarten
,,HUMPHREY EL.,,Wright,87.8,Kindergarten
,,ST JAMES LUTHERAN,,Wright,60.0,Kindergarten
,,WINSTED EL.,,Mcleod,88.89,Kindergarten
,,HUTCHINSON WEST EL.,,Mcleod,91.11,Kindergarten
,,IMMANUEL LUTHERAN,,Mcleod,92.31,Kindergarten
,,ST ANASTASIA,,Mcleod,70.0,Kindergarten
,,INNOVATION SCIENCE AND TECHNOLOGY ACADEMY CHARTER SCHOOL,,Anoka,22.22,Kindergarten
,,FALLS ELEMENTARY SCHOOL,,Koochiching,84.31,Kindergarten
,,INTERNATIONAL SPANISH LANGUAGE ACADEMY,,Hennepin,84.07,Kindergarten
,,HILLTOP EL.,,Dakota,96.77,Kindergarten
,,PINE BEND EL.,,Dakota,93.15,Kindergarten
