Facility Number,School District or Name,Facility Address,County,School Type,MMR Vaccination Rate,Age Group
,SAINT CYRIL OF ALEXANDRIA SCHOOL,4725 E PIMA ST,PIMA,PRIVATE,96.43,Kindergarten
,SAINT DAVID ELEMENTARY SCHOOL,70 PATTON HWY,COCHISE,PUBLIC,88.24,Kindergarten
,SAINT ELIZABETH ANN SETON SCHOOL,8650 N SHANNON RD,PIMA,PRIVATE,90.32,Kindergarten
,SAINT FRANCIS OF ASSISI SCHOOL,700 W 18TH ST,YUMA,PRIVATE,100.00,Kindergarten
,SAINT FRANCIS XAVIER SCHOOL,4715 N CENTRAL AVE,MARICOPA,PRIVATE,100.00,Kindergarten
,SAINT GREGORY SCHOOL,3440 N 18TH AVE,MARICOPA,PRIVATE,100.00,Kindergarten
,SAINT JEROME CATHOLIC SCHOOL,10815 N 35TH AVE,MARICOPA,PRIVATE,91.67,Kindergarten
,SAINT JOHN THE EVANGELIST SCHOOL,600 W AJO WAY,PIMA,PRIVATE,97.50,Kindergarten
,SAINT JOHN VIANNEY CATHOLIC SCHOOL,539 LA PASADA BLVD,MARICOPA,PRIVATE,100.00,Kindergarten
,SAINT JOHN XXIII CATHOLIC SCHOOL,16235 N 60TH ST,MARICOPA,PRIVATE,81.82,Kindergarten
,SAINT JOSEPH CATHOLIC SCHOOL,215 S CRAYCROFT RD,PIMA,PRIVATE,91.30,Kindergarten
,SAINT LOUIS THE KING SCHOOL,4331 W MARYLAND AVE,MARICOPA,PRIVATE,95.00,Kindergarten
,SAINT MARK'S EARLY CHILDHOOD CENTER,1431 W MAGEE RD,PIMA,PRIVATE,92.31,Kindergarten
