Facility Number,School District or Name,Facility Address,County,School Type,MMR Vaccination Rate,Age Group
,BALES ELEMENTARY SCHOOL,25400 W MARICOPA RD,MARICOPA,PUBLIC,93.90,Kindergarten
,BARBARA B ROBEY ELEMENTARY - 85340,5340 N WIGWAM CREEK BLVD,MARICOPA,PUBLIC,88.37,Kindergarten
,BARBARA BUSH ELEMENTARY SCHOOL - 85205,4925 E INGRAM ST,MARICOPA,PUBLIC,89.86,Kindergarten
,BARCELONA ELEMENTARY SCHOOL,6530 N 44TH AVE,MARICOPA,PUBLIC,96.43,Kindergarten
,BASHA ELEMENTARY,3535 S BASHA RD,MARICOPA,PUBLIC,94.83,Kindergarten
,BASIS - FLAGSTAFF,1700 N GEMINI DR,COCONINO,CHARTER,98.59,Kindergarten
,BASIS - MESA,5010 S EASTMARK PKWY,MARICOPA,CHARTER,90.48,Kindergarten
,BASIS - ORO VALLEY PRIMARY,11129 N. ORACLE RD.,PIMA,CHARTER,97.92,Kindergarten
,BASIS - PEORIA PRIMARY,25950 N. LAKE PLEASANT PKWY,MARICOPA,CHARTER,95.45,Kindergarten
,BASIS - PHOENIX PRIMARY,11850 N 32ND ST,MARICOPA,CHARTER,90.83,Kindergarten
,BASIS - SCOTTSDALE PRIMARY WEST CAMPUS,7496 E TIERRA BUENA LANE,MARICOPA,CHARTER,93.41,Kindergarten
,BASIS - TUCSON MIDDLE SCHOOL,3825 E 2ND ST,PIMA,CHARTER,94.41,Kindergarten
,BASIS CHANDLER PRIMARY NORTH CAMPUS,1800 E CHANDLER BLVD,MARICOPA,CHARTER,96.33,Kindergarten
,BASIS CHANDLER PRIMARY SOUTH CAMPUS,4825 S ARIZONA AVENUE,MARICOPA,CHARTER,95.74,Kindergarten
,BASIS GOODYEAR,15800 W SHERMAN ST,MARICOPA,CHARTER,89.25,Kindergarten
,BASIS PHOENIX CENTRAL PRIMARY,201 E INDIANOLA AVE,MARICOPA,CHARTER,80.00,Kindergarten
,BASIS PHOENIX SOUTH PRIMARY SCHOOL,5700 S 19TH AVE,MARICOPA,CHARTER,96.72,Kindergarten
,BASIS PRESCOTT,1901 PRESCOTT LAKES PKWY,YAVAPAI,PUBLIC,82.76,Kindergarten
,BASIS SCOTTSDALE PRIMARY,11440 N 136TH ST,MARICOPA,CHARTER,91.03,Kindergarten
,BAYER PRIVATE SCHOOL,23555 N 67TH AVE,MARICOPA,PRIVATE,100.00,Kindergarten
,BEAVER CREEK SCHOOL,4810 E BEAVER CREEK RD,YAVAPAI,PUBLIC,81.82,Kindergarten
,BELEN SOTO ELEMENTARY SCHOOL,18601 W CAMPBELL AVE,MARICOPA,PUBLIC,94.74,Kindergarten
,BELLA VISTA ELEMENTARY SCHOOL,801 N LENZNER AVE,COCHISE,PUBLIC,100.00,Kindergarten
,BELLAIR ELEMENTARY SCHOOL,4701 W GROVERS AVE,MARICOPA,PUBLIC,86.36,Kindergarten
,BENCHMARK SCHOOL,4120 E ACOMA DR,MARICOPA,CHARTER,55.77,Kindergarten
,BENJAMIN FRANKLIN CHARTER SCHOOL - CRIMSON,22120 E. QUEEN CREEK RD,MARICOPA,CHARTER,70.97,Kindergarten
,BENJAMIN FRANKLIN CHARTER SCHOOL - GILBERT,1475 SOUTH VAL VISTA DRIVE,MARICOPA,CHARTER,68.75,Kindergarten
,BENJAMIN FRANKLIN CHARTER SCHOOL - POWER RD,22951 SOUTH POWER ROAD,MARICOPA,CHARTER,70.09,Kindergarten
,BENNETT ACADEMY - VENTURE SITE,1535 W DUNLAP AVE,MARICOPA,CHARTER,70.59,Kindergarten
,BENSON PRIMARY SCHOOL,360 S PATAGONIA ST,COCHISE,PUBLIC,80.25,Kindergarten
,BERNARD BLACK ELEMENTARY,6550 S 27TH AVE,MARICOPA,PUBLIC,74.55,Kindergarten
,BICENTENNIAL SOUTH SCHOOL,7240 W COLTER ST,MARICOPA,PUBLIC,98.46,Kindergarten
,BIG DREAMS PRESCHOOL & KINDERGARTEN,28570 N EL MIRAGE RD,MARICOPA,PRIVATE,87.50,Kindergarten
,BILTMORE PREPARATORY ACADEMY,4601 N 34TH ST,MARICOPA,PUBLIC,93.94,Kindergarten
,BLACK MOUNTAIN ELEMENTARY SCHOOL - CAVE CREEK,33016 N 60TH ST,MARICOPA,PUBLIC,75.56,Kindergarten
,BLACK MOUNTAIN ELEMENTARY SCHOOL - GOLDEN VALLEY,3404 N SANTA MARIA RD,MOHAVE,PUBLIC,60.00,Kindergarten
,BLAKE PRIMARY SCHOOL,701 S NAVAJO AVE,LA PAZ,PUBLIC,90.29,Kindergarten
,BLENMAN ELEMENTARY SCHOOL,1695 N COUNTRY CLUB RD,PIMA,PUBLIC,96.55,Kindergarten
,BLOOM ELEMENTARY SCHOOL,8310 E PIMA ST,PIMA,PUBLIC,89.29,Kindergarten
,BLUE RIDGE ELEMENTARY SCHOOL,1200 W WHITE MOUNTAIN BLVD,NAVAJO,PUBLIC,79.80,Kindergarten
,BONILLAS ELEMENTARY BASIC CURRICULUM MAGN,4757 E WINSETT BLVD,PIMA,PUBLIC,98.53,Kindergarten
,BOOTH-FICKETT MATH/SCIENCE K-8 MAGNET SCHOOL,450 S MONTEGO DR,PIMA,PUBLIC,100.00,Kindergarten
,BORMAN ELEMENTARY SCHOOL,6630 LIGHTNING DR (DMAFB),PIMA,PUBLIC,96.39,Kindergarten
,BORTON PRIMARY MAGNET SCHOOL,700 E 22ND ST,PIMA,PUBLIC,95.24,Kindergarten
,BOULDER CREEK ELEMENTARY - 85024,22801 N 22ND ST,MARICOPA,PUBLIC,97.30,Kindergarten
,BOULDER CREEK ELEMENTARY - 85212,8045 E PORTOBELLO AVE,MARICOPA,PUBLIC,93.94,Kindergarten
,BRAVIE T SOTO ELEMENTARY,1201 MAIN STREET,YUMA,PUBLIC,97.37,Kindergarten
,BRET TARVER ELEMENTARY,4308 N 51ST AVE,MARICOPA,PUBLIC,94.94,Kindergarten
,BRIDGES ELEMENTARY SCHOOL,5205 S SOBOBA ST,MARICOPA,PUBLIC,95.05,Kindergarten
,BRIDGES PRESCHOOL - TEMPE,7570 S WILLOW DR,MARICOPA,PRIVATE,91.67,Kindergarten
,BRIGHT BEGINNINGS SCHOOL #1 - N ANDERSEN BLVD,400 N ANDERSEN BLVD,MARICOPA,CHARTER,83.33,Kindergarten
,BROADMOR ELEMENTARY SCHOOL,311 E AEPLI DR,MARICOPA,PUBLIC,94.29,Kindergarten
,BRUNSON-LEE ELEMENTARY SCHOOL,1350 N 48TH ST,MARICOPA,PUBLIC,95.71,Kindergarten
,BUCKEYE PRIMARY SCHOOL,210 S 6TH ST,MARICOPA,PUBLIC,94.50,Kindergarten
,BURK ELEMENTARY SCHOOL,545 N BURK ST,MARICOPA,PUBLIC,94.74,Kindergarten
,BURKE BASIC SCHOOL,131 E SOUTHERN AVE,MARICOPA,CHARTER,94.78,Kindergarten
,BUTTERFIELD ELEMENTARY SCHOOL - MARICOPA,43800 W HONEYCUTT RD,PINAL,PUBLIC,88.89,Kindergarten
,BUTTERFIELD ELEMENTARY SCHOOL - TUCSON,3400 W MASSINGALE RD,PIMA,PUBLIC,89.06,Kindergarten
,C E ROSE ELEMENTARY SCHOOL,710 W MICHIGAN DR,PIMA,PUBLIC,98.70,Kindergarten
,C I WAGGONER SCHOOL,1050 E CARVER RD,MARICOPA,PUBLIC,87.30,Kindergarten
,C J JORGENSEN SCHOOL,1701 W ROESER RD,MARICOPA,PUBLIC,100.00,Kindergarten
,C W MCGRAW ELEMENTARY SCHOOL,2345 S ARIZONA AVE,YUMA,PUBLIC,98.61,Kindergarten
,CACTUS VIEW ELEMENTARY SCHOOL,17602 N CENTRAL AVE,MARICOPA,PUBLIC,77.03,Kindergarten
,CACTUS WREN ELEMENTARY SCHOOL,9650 N 39TH AVE,MARICOPA,PUBLIC,98.41,Kindergarten
,CALABASAS SCHOOL,131 CAMINO MARICOPA,SANTA CRUZ,PUBLIC,93.06,Kindergarten
,CALIBRE ACADEMY SURPRISE,15688 W ACOMA DR,MARICOPA,CHARTER,79.45,Kindergarten
,CALVARY CHAPEL CHRISTIAN SCHOOL,8725 E SPEEDWAY BLVD,PIMA,PRIVATE,90.91,Kindergarten
,CALVARY CHRISTIAN ACADEMY,1605 S MCCULLOCH BLVD,MOHAVE,PRIVATE,72.73,Kindergarten
,CALVARY NORTH PRESCHOOL,14201 N 32ND ST,MARICOPA,PRIVATE,54.55,Kindergarten
,CAMBRIDGE ACADEMY - MESA CAMPUS,9412 E BROWN RD,MARICOPA,CHARTER,76.60,Kindergarten
,CAMELBACK ACADEMY,7634 W CAMELBACK RD,MARICOPA,CHARTER,91.18,Kindergarten
,CAMELBACK DESERT SCHOOL,9606 E KALIL DR,MARICOPA,PRIVATE,85.71,Kindergarten
,CAMP VERDE ELEMENTARY SCHOOL,200 CAMP LINCOLN RD,YAVAPAI,PUBLIC,79.17,Kindergarten
,CAMP VERDE UNITED CHRISTIAN SCHOOL,903 W FINNIE FLAT RD,YAVAPAI,PRIVATE,72.73,Kindergarten
,CAMPO BELLO ELEMENTARY SCHOOL,2625 E GROVES AVE,MARICOPA,PUBLIC,84.21,Kindergarten
,CANDEO NORTH SCOTTSDALE,7191 E ASHLER HILLS DRIVE,MARICOPA,CHARTER,57.14,Kindergarten
,CANDEO SCHOOLS,9965 W CALLE LEJOS,MARICOPA,CHARTER,79.73,Kindergarten
,CANON SCHOOL,18800 E SCHOOL HOUSE RD,YAVAPAI,PUBLIC,58.33,Kindergarten
,CANYON BREEZE ELEMENTARY,11675 W ENCANTO BLVD,MARICOPA,PUBLIC,91.67,Kindergarten
,CANYON DE CHELLY ELEMENTARY SCHOOL,HWY 191,APACHE,PUBLIC,100.00,Kindergarten
,CANYON ELEMENTARY SCHOOL,5490 W PARADISE LN,MARICOPA,PUBLIC,82.86,Kindergarten
,CANYON RIDGE ELEMENTARY,17359 WEST SURPRISE FARMS LOOP NORTH,MARICOPA,PUBLIC,84.54,Kindergarten
,CANYON RIM ELEMENTARY,3045 S CANYON RIM,MARICOPA,PUBLIC,82.65,Kindergarten
,CANYON SPRINGS,42901 N 45TH AVE,MARICOPA,PUBLIC,84.75,Kindergarten
,CANYON VIEW ELEMENTARY SCHOOL,5725 N SABINO CANYON RD,PIMA,PUBLIC,100.00,Kindergarten
,CAPPS MIDDLE SCHOOL (GR 4-6),3375 BUCKSKIN CANYON RD,NAVAJO,PUBLIC,57.14,Kindergarten
,CAREER SUCCESS SCHOOL - SAGE CAMPUS,3141 E CHEERY LYNN ROAD,MARICOPA,CHARTER,92.86,Kindergarten
,CARITAS CHRISTIAN CLASSICAL ACADEMY,301 NORTH HARTFORD STREET,MARICOPA,PRIVATE,42.86,Kindergarten
,CARMICHAEL ELEMENTARY SCHOOL,701 NE CARMICHAEL AVE,COCHISE,PUBLIC,97.87,Kindergarten
,CARMINATI SCHOOL,4001 S MCALLISTER AVE,MARICOPA,PUBLIC,79.49,Kindergarten
,CAROL G. PECK ELEMENTARY SCHOOL,5810 N 49TH AVE,MARICOPA,PUBLIC,91.30,Kindergarten
,CAROL RAE RANCH ELEMENTARY,3777 E HOUSTON AVE,MARICOPA,PUBLIC,90.28,Kindergarten
,CARRILLO INTERMEDIATE MAGNET SCHOOL,440 S MAIN AVE,PIMA,PUBLIC,100.00,Kindergarten
,CARRIZO MISSION SCHOOL,2000 S 351 RD,APACHE,PRIVATE,83.33,Kindergarten
,CARTWRIGHT ELEMENTARY SCHOOL,5833 W THOMAS RD,MARICOPA,PUBLIC,89.39,Kindergarten
,CASA ACADEMY,8047 NORTH 35TH AVENUE,MARICOPA,CHARTER,77.97,Kindergarten
,CASA BLANCA COMMUNITY SCHOOL,5297 WEST NELSON ROAD,PINAL,PUBLIC,100.00,Kindergarten
,CASAS CHRISTIAN SCHOOL,10801 N LA CHOLLA BLVD,PIMA,PRIVATE,73.58,Kindergarten
,CASTLEHILL COUNTRY DAY SCHOOL,3225 N CRAYCROFT RD,PIMA,PRIVATE,86.67,Kindergarten
,CATALINA VENTURA SCHOOL,6331 N 39TH AVE,MARICOPA,PUBLIC,98.85,Kindergarten
,CAVETT ELEMENTARY SCHOOL,2120 E NACO VISTA DR,PIMA,PUBLIC,96.77,Kindergarten
,CENTENNIAL ELEMENTARY SCHOOL - GILBERT,3507 S RANCH HOUSE PKWY,MARICOPA,PUBLIC,87.84,Kindergarten
,CENTENNIAL ELEMENTARY SCHOOL - TUCSON,2200 W WETMORE RD,PIMA,PUBLIC,95.38,Kindergarten
,CENTER FOR ACADEMIC SUCCESS #3 - 3RD ST,919 3RD ST,COCHISE,CHARTER,86.84,Kindergarten
,CENTER FOR ACADEMIC SUCCESS #5,900 CARMELITA DR,COCHISE,CHARTER,86.84,Kindergarten
,CENTER FOR EDUCATIONAL EXCELLENCE,1700 E ELLIOT RD,MARICOPA,CHARTER,89.47,Kindergarten
,CENTERRA MIRAGE ELEMENTARY,15151 WEST CENTERRA DRIVE SOUTH,MARICOPA,PUBLIC,98.36,Kindergarten
,CERBAT ELEMENTARY SCHOOL,2689 E JAGERSON AVE,MOHAVE,PUBLIC,90.76,Kindergarten
,CESAR CHAVEZ ELEMENTARY,1130 N 10TH AVE,YUMA,PUBLIC,100.00,Kindergarten
,CESAR E CHAVEZ COMMUNITY SCHOOL,4001 S 3RD ST,MARICOPA,PUBLIC,100.00,Kindergarten
,CHALLENGE CHARTER SCHOOL,5801 W GREENBRIAR DR,MARICOPA,CHARTER,83.87,Kindergarten
,CHALLENGER BASIC SCHOOL,1315 N GREENFIELD RD,MARICOPA,CHARTER,73.81,Kindergarten
,CHALLENGER ELEMENTARY SCHOOL,901 E CALLE MAYER,SANTA CRUZ,PUBLIC,100.00,Kindergarten
,CHAMPION CHANDLER,250 S MCQUEEN RD,MARICOPA,CHARTER,83.33,Kindergarten
,CHAMPION SCHOOLS - SOUTH MOUNTAIN,7900 S JESSE OWENS PKWY,MARICOPA,PRIVATE,85.71,Kindergarten
,CHAMPION SCHOOLS SAN TAN VALLEY,1846 E BELLA VISTA RD,PINAL,CHARTER,31.11,Kindergarten
,CHANDLER TRADITIONAL ACADEMY - FREEDOM,6040 SOUTH JOSLYN LANE,MARICOPA,PUBLIC,91.21,Kindergarten
,CHANDLER TRADITIONAL ACADEMY - GOODMAN CAMPUS,2600 W KNOX RD,MARICOPA,PUBLIC,92.54,Kindergarten
,CHANDLER TRADITIONAL ACADEMY - INDEPENDENCE,1405 W LAKE DR,MARICOPA,PUBLIC,97.35,Kindergarten
,CHANDLER TRADITIONAL ACADEMY - LIBERTY CAMPUS,550 N EMMETT DR,MARICOPA,PUBLIC,98.85,Kindergarten
,CHAPARRAL ELEMENTARY SCHOOL-85029,3808 W JOAN DE ARC,MARICOPA,PUBLIC,96.49,Kindergarten
,CHAPARRAL ELEMENTARY SCHOOL-85295,3380 E FRYE RD,MARICOPA,PUBLIC,87.36,Kindergarten
,CHARLES W HARRIS ELEMENTARY SCHOOL,2252 N 55TH AVE,MARICOPA,PUBLIC,98.82,Kindergarten
,CHARLES W SECHRIST ELEMENTARY SCHOOL,2230 N FT VALLEY RD,COCONINO,PUBLIC,95.08,Kindergarten
,CHARLOTTE PATTERSON ELEMENTARY,7520 S ADORA BLVD,MARICOPA,PUBLIC,91.03,Kindergarten
,CHEATHAM ELEMENTARY SCHOOL,4725 W SOUTH MOUNTAIN AVE,MARICOPA,PUBLIC,88.14,Kindergarten
,CHEROKEE ELEMENTARY SCHOOL,8801 N 56TH ST,MARICOPA,PUBLIC,93.33,Kindergarten
,CHEYENNE ELEMENTARY SCHOOL - PEORIA,11806 N 87TH AVE,MARICOPA,PUBLIC,94.12,Kindergarten
,CHEYENNE TRADITIONAL ELEMENTARY SCHOOL - SCOTTSDALE,13636 N 100TH ST,MARICOPA,PUBLIC,91.92,Kindergarten
,CHILDREN FIRST ACADEMY - PHOENIX,1648 S 16TH ST,MARICOPA,CHARTER,92.31,Kindergarten
,CHILDREN REACHING FOR THE SKY PREPARATORY,1844 S ALVERNON WAY,PIMA,CHARTER,83.33,Kindergarten
,CHINLE ELEMENTARY SCHOOL,HWY 191 & NAVAJO ROUTE 7,APACHE,PUBLIC,100.00,Kindergarten
,CHOLLA ELEMENTARY SCHOOL,1180 E KORTSEN RD,PINAL,PUBLIC,93.65,Kindergarten
,CHRIST CHURCH SCHOOL,4015 E LINCOLN DR,MARICOPA,PRIVATE,78.95,Kindergarten
,CHRIST LUTHERAN SCHOOL,3901 E INDIAN SCHOOL RD,MARICOPA,PRIVATE,81.67,Kindergarten
,CHRIST LUTHERAN VAIL CHURCH EARLY CARE AND EDUCATION,14600 E COLOSSAL CAVE RD,PIMA,PRIVATE,53.33,Kindergarten
,CHRIST THE KING CATHOLIC SCHOOL,1551 E DANA AVE,MARICOPA,PRIVATE,95.00,Kindergarten
,CHRIST'S GREENFIELD LUTHERAN SCHOOL,425 N GREENFIELD RD,MARICOPA,PRIVATE,72.22,Kindergarten
,CIRCLE CROSS K-8 STEM ACADEMY,35900 N. CHARBRAY DR,PINAL,PUBLIC,95.31,Kindergarten
,CIVANO COMMUNITY  SCHOOL,10625 E DREXEL RD.,PIMA,PUBLIC,100.00,Kindergarten
,CLARKDALE-JEROME ELEMENTARY SCHOOL,1615 MAIN ST,YAVAPAI,PUBLIC,72.09,Kindergarten
,CLAWSON SCHOOL,1235 7TH ST,COCHISE,PUBLIC,91.84,Kindergarten
,CLOVES C CAMPBELL SR ELEMENTARY SCHOOL,2624 E S MOUNTAIN AVE,MARICOPA,PUBLIC,92.68,Kindergarten
,COCHISE ELEMENTARY SCHOOL - SCOTTSDALE,9451 N 84TH ST,MARICOPA,PUBLIC,90.11,Kindergarten
,COLLIER ELEMENTARY SCHOOL - AVONDALE,350 S 118TH AVE,MARICOPA,PUBLIC,96.55,Kindergarten
,COLLIER ELEMENTARY SCHOOL - TUCSON,3900 N BEAR CANYON RD,PIMA,PUBLIC,91.67,Kindergarten
,COLONEL JOHNSTON ELEMENTARY SCHOOL,"RUCKER ST, BUILDING 4712",COCHISE,PUBLIC,92.63,Kindergarten
,COMBS TRADITIONAL SCHOOL,37327 N GANTZEL RD,PINAL,PUBLIC,86.96,Kindergarten
,CONGRESS ELEMENTARY SCHOOL,26400 S TENDERFOOT HILL RD,YAVAPAI,PUBLIC,100.00,Kindergarten
,CONSTITUTION ELEMENTARY SCHOOL,18440 N 15TH AVE,MARICOPA,PUBLIC,95.00,Kindergarten
,CONTINENTAL ELEMENTARY SCHOOL,1991 E WHITE HOUSE CANYON RD,PIMA,PUBLIC,98.28,Kindergarten
,COPPER BASIN K-8,28682 N MAIN ST,PINAL,PUBLIC,83.93,Kindergarten
,COPPER CANYON ELEMENTARY SCHOOL,17650 N 54TH ST,MARICOPA,PUBLIC,81.82,Kindergarten
,COPPER CREEK ELEMENTARY,7071 W HILLCREST BLVD,MARICOPA,PUBLIC,90.36,Kindergarten
,COPPER CREEK ELEMENTARY SCHOOL,11620 N COPPER SPRING TRAIL,PIMA,PUBLIC,90.32,Kindergarten
,COPPER KING ELEMENTARY,10730 W CAMPBELL AVE,MARICOPA,PUBLIC,85.92,Kindergarten
,COPPER RIDGE ELEMENTARY SCHOOL - 85641,17650 S CANYON EDGE TRAIL,PIMA,PUBLIC,96.23,Kindergarten
,COPPER RIDGE SCHOOL - 85255,10101 E THOMPSON PEAK PKWY,MARICOPA,PUBLIC,75.51,Kindergarten
,COPPER RIM ELEMENTARY SCHOOL,1600 MESQUITE,GILA,PUBLIC,91.49,Kindergarten
,COPPER TRAILS ELEMENTARY,16875 WEST CANYON TRAILS BLVD,MARICOPA,PUBLIC,92.13,Kindergarten
,COPPER VIEW ELEMENTARY SCHOOL,16200 S STARLIGHT VIEW LN,PIMA,PUBLIC,97.65,Kindergarten
,COPPERWOOD SCHOOL,11232 N 65TH AVE,MARICOPA,PUBLIC,95.24,Kindergarten
,CORDOVA ELEMENTARY SCHOOL,5631 N 35TH AVE,MARICOPA,PUBLIC,100.00,Kindergarten
,CORONADO ELEMENTARY SCHOOL - APACHE,50 N WATER ST,APACHE,PUBLIC,60.78,Kindergarten
,CORONADO ELEMENTARY SCHOOL - COCHISE,5148 CORONADO SCHOOL DR,COCHISE,PUBLIC,75.00,Kindergarten
,CORONADO ELEMENTARY SCHOOL - GILBERT,4333 S DE ANZA BLVD,MARICOPA,PUBLIC,87.72,Kindergarten
,CORONADO K-8 SCHOOL,3401 E WILDS RD,PIMA,PUBLIC,93.33,Kindergarten
,CORTE SIERRA ELEMENTARY SCHOOL,3300 N SANTE FE TRAIL,MARICOPA,PUBLIC,84.85,Kindergarten
,CORTINA ELEMENTARY,19680 S 188TH ST,MARICOPA,PUBLIC,85.53,Kindergarten
,COTTON BOLL SCHOOL,8540 W BUTLER DR,MARICOPA,PUBLIC,87.65,Kindergarten
,COTTONWOOD COMMUNITY SCHOOL,500 E MINGUS AVE,YAVAPAI,PUBLIC,83.72,Kindergarten
,COTTONWOOD ELEMENTARY SCHOOL - 85222,1667 N KADOTA AVE,PINAL,PUBLIC,51.19,Kindergarten
,COTTONWOOD ELEMENTARY SCHOOL - 85641,9950 REES LOOP,PIMA,PUBLIC,91.35,Kindergarten
,COUNTRY GARDENS CHARTER SCHOOL,6313 W SOUTHERN AVE,MARICOPA,CHARTER,91.30,Kindergarten
,COUNTRY MEADOWS ELEMENTARY SCHOOL,8409 N 111 TH AVE,MARICOPA,PUBLIC,84.44,Kindergarten
,COUNTRY PLACE ELEMENTARY,10207 W COUNTRY PLACE BLVD,MARICOPA,PUBLIC,96.30,Kindergarten
,COUNTRYSIDE ELEMENTARY,15034 N PARKVIEW PL,MARICOPA,PUBLIC,91.40,Kindergarten
,COYOTE HILLS ELEMENTARY SCHOOL,21180 N 87TH AVE,MARICOPA,PUBLIC,90.80,Kindergarten
,COYOTE SPRINGS ELEMENTARY SCHOOL,8101 E HWY 89A,YAVAPAI,PUBLIC,87.50,Kindergarten
,COYOTE TRAIL ELEMENTARY SCHOOL,8000 N SILVERBELL RD,PIMA,PUBLIC,94.12,Kindergarten
,CRADLEBOARD SCHOOL,HOLLY GRAPE RD & N POWER LIN,NAVAJO,PUBLIC,100.00,Kindergarten
,CRAGIN ELEMENTARY SCHOOL,2945 N TUCSON BLVD,PIMA,PUBLIC,100.00,Kindergarten
,CRAYCROFT ELEMENTARY SCHOOL,5455 E LITTLETOWN RD,PIMA,PUBLIC,98.94,Kindergarten
,CREATIVE BRIDGES COOPERATIVE PRESCHOOL,7321 N 10TH ST,MARICOPA,PRIVATE,100.00,Kindergarten
,CREATIVE CASTLE PRESCHOOL & PLAYTIME,4130 W OPPORTUNITY WAY,MARICOPA,PRIVATE,74.47,Kindergarten
,CREO SCHOOL,1475 S HIGLEY RD,MARICOPA,PRIVATE,66.67,Kindergarten
,CRISMON ELEMENTARY SCHOOL,825 W MEDINA AVE,MARICOPA,PUBLIC,91.84,Kindergarten
,CROSS OF GLORY LUTHERAN SCHOOL,10111 W JOMAX RD,MARICOPA,PRIVATE,80.00,Kindergarten
,CROWN CHARTER SCHOOL,12450 W MARYLAND AVE,MARICOPA,CHARTER,56.25,Kindergarten
,CURIEL SCHOOL,1000 N CURIEL ST,PINAL,PUBLIC,98.77,Kindergarten
,CURRY ELEMENTARY SCHOOL,1974 E MEADOW DR,MARICOPA,PUBLIC,98.08,Kindergarten
,DAVID CROCKETT SCHOOL,501 N 36TH ST,MARICOPA,PUBLIC,95.06,Kindergarten
,DAVIDSON ELEMENTARY SCHOOL,3950 E PARADISE FALLS DR,PIMA,PUBLIC,86.05,Kindergarten
,DAVIS BILINGUAL MAGNET SCHOOL,500 W ST MARY'S RD,PIMA,PUBLIC,94.23,Kindergarten
,DAYSPRING PRESCHOOL,1365 E ELLIOT RD,MARICOPA,PRIVATE,91.30,Kindergarten
,DEGRAZIA ELEMENTARY SCHOOL,5051 W OVERTON RD,PIMA,PUBLIC,95.83,Kindergarten
,DENNEHOTSO BOARDING SCHOOL,EAST HWY. 160,APACHE,PUBLIC,100.00,Kindergarten
,DESERT CANYON ELEMENTARY,10203 E MCDOWELL MOUNTAIN RANCH RD,MARICOPA,PUBLIC,93.62,Kindergarten
,DESERT CHRISTIAN K-8 SCHOOL - E WRIGHTSTOWN RD,9415 E WRIGHTSTOWN RD,PIMA,PRIVATE,58.33,Kindergarten
,DESERT COVE ELEMENTARY SCHOOL,11020 N 28TH ST,MARICOPA,CHARTER,82.50,Kindergarten
,DESERT FOOTHILLS LUTHERAN PRESCHOOL,29305 N SCOTTSDALE RD,MARICOPA,PRIVATE,68.42,Kindergarten
,DESERT HARBOR ELEMENTARY SCHOOL,15585 N 91ST AVE,MARICOPA,PUBLIC,85.51,Kindergarten
,DESERT HEIGHTS ELEMENTARY CHARTER SCHOOL,5821 W BEVERLY LN,MARICOPA,CHARTER,92.00,Kindergarten
,DESERT HORIZON ELEMENTARY SCHOOL,8525 W OSBORN RD,MARICOPA,PUBLIC,93.75,Kindergarten
,DESERT MARIGOLD SCHOOL,6210 S 28TH ST,MARICOPA,CHARTER,64.71,Kindergarten
,DESERT MEADOWS ELEMENTARY SCHOOL,6855 W MEADOWS LOOP E,MARICOPA,PUBLIC,64.20,Kindergarten
,DESERT MESA ELEMENTARY SCHOOL,2350 S AVENUE 7 1/2 E,YUMA,PUBLIC,93.46,Kindergarten
,DESERT MIRAGE ELEMENTARY SCHOOL,8605 W MARYLAND AVE,MARICOPA,PUBLIC,90.59,Kindergarten
,DESERT MOUNTAIN ELEMENTARY - 85142,22301 S HAWES RD,MARICOPA,PUBLIC,92.59,Kindergarten
,DESERT MOUNTAIN SCHOOL - 85086,35959 NORTH 7TH AVENUE,MARICOPA,PUBLIC,82.14,Kindergarten
,DESERT OASIS ELEMENTARY SCHOOL-85037,8802 W MCDOWELL RD,MARICOPA,PUBLIC,84.75,Kindergarten
,DESERT OASIS ELEMENTARY SCHOOL-85387,17161 W BAJADA RD,MARICOPA,PUBLIC,91.43,Kindergarten
,DESERT PALMS ELEMENTARY SCHOOL,11441 N 55TH AVE,MARICOPA,PUBLIC,85.71,Kindergarten
,DESERT SAGE ELEMENTARY SCHOOL,4035 W ALAMEDA,MARICOPA,PUBLIC,95.45,Kindergarten
,DESERT SHADOWS ELEMENTARY SCHOOL,5902 E SWEETWATER AVE,MARICOPA,PUBLIC,88.73,Kindergarten
,DESERT SONORA ELEMENTARY SCHOOL,301 N CARLISLE AVE,YUMA,PUBLIC,93.22,Kindergarten
,DESERT SPIRIT,7355 W ORANGEWOOD AVE,MARICOPA,PUBLIC,98.28,Kindergarten
,DESERT SPRINGS PREPARATORY ELEMENTARY SCHOOL,6010 E ACOMA DR,MARICOPA,PUBLIC,91.89,Kindergarten
,DESERT STAR ACADEMY,"5599 S HWY 95, UNIT 2",MOHAVE,CHARTER,90.38,Kindergarten
,DESERT STAR SCHOOL,2131 S 157TH AVE,MARICOPA,PUBLIC,92.45,Kindergarten
,DESERT SUN CHILD DEVELOPMENT CENTER,1512 W ELLIOT RD,MARICOPA,PRIVATE,82.35,Kindergarten
,DESERT SUN ELEMENTARY SCHOOL,27880 N 64TH ST,MARICOPA,PUBLIC,87.50,Kindergarten
,DESERT SUNSET ELEMENTARY SCHOOL,30919 WEST WHITE TANK VISTA DRIVE,MARICOPA,PUBLIC,81.08,Kindergarten
,DESERT THUNDER SCHOOL,16750 W GARFIELD ST,MARICOPA,PUBLIC,90.43,Kindergarten
,DESERT TRAILS ELEMENTARY SCHOOL,4315 E CASHMAN DR,MARICOPA,PUBLIC,91.67,Kindergarten
,DESERT VALLEY ELEMENTARY - 86442,1066 MARINA BLVD,MOHAVE,PUBLIC,87.96,Kindergarten
