Facility Number,Facility Address,School Type,School District or Name,County,Age Group,MMR Vaccination Rate
,,,NEIL ARMSTRONG ELEMENTARY SCHOOL,MORGAN,K,95.06
,,,NEWBY MEMORIAL ELEMENTARY SCHOOL,MORGAN,K,96.67
,,,NORTH MADISON ELEMENTARY SCHOOL,MORGAN,K,93.85
,,,NORTHWOOD ELEMENTARY SCHOOL,MORGAN,K,86.27
,,,WAVERLY ELEMENTARY SCHOOL,MORGAN,K,67.74
,,,NEIL ARMSTRONG ELEMENTARY SCHOOL,MORGAN,1,87.78
,,,NEWBY MEMORIAL ELEMENTARY SCHOOL,MORGAN,1,88.89
,,,NORTH MADISON ELEMENTARY SCHOOL,MORGAN,1,84.75
,,,NORTHWOOD ELEMENTARY SCHOOL,MORGAN,1,92.59
,,,WAVERLY ELEMENTARY SCHOOL,MORGAN,1,87.76
,,,NEIL ARMSTRONG ELEMENTARY SCHOOL,MORGAN,6,93.51
,,,NEWBY MEMORIAL ELEMENTARY SCHOOL,MORGAN,6,93.88
,,,NORTH MADISON ELEMENTARY SCHOOL,MORGAN,6,96.94
,,,NORTHWOOD ELEMENTARY SCHOOL,MORGAN,6,95.92
,,,WAVERLY ELEMENTARY SCHOOL,MORGAN,6,98.18
,,,MOORESVILLE HIGH SCHOOL,MORGAN,12,98.86
,,,PAUL HADLEY MIDDLE SCHOOL,MORGAN,7,97.27
,,,CENTRAL NOBLE JUNIOR SENIOR HS,NOBLE,7,93.9
,,,CENTRAL NOBLE JUNIOR SENIOR HS,NOBLE,6,94.67
,,,CENTRAL NOBLE JUNIOR SENIOR HS,NOBLE,12,97.92
,,,CENTRAL NOBLE PRIMARY SCHOOL,NOBLE,K,84.44
,,,CENTRAL NOBLE PRIMARY SCHOOL,NOBLE,1,87.69
,,,AVILLA ELEMENTARY SCHOOL,NOBLE,1,100
,,,NORTH SIDE ELEMENTARY SCHOOL,NOBLE,1,97.5
,,,ROME CITY ELEMENTARY SCHOOL,NOBLE,1,90.24
,,,SOUTH SIDE ELEMENTARY SCHOOL,NOBLE,1,92.73
,,,WAYNE CENTER ELEM SCHOOL,NOBLE,1,96.36
,,,EAST NOBLE MIDDLE SCHOOL,NOBLE,6,98.31
,,,EAST NOBLE MIDDLE SCHOOL,NOBLE,7,98.11
,,,AVILLA ELEMENTARY SCHOOL,NOBLE,K,97.83
,,,NORTH SIDE ELEMENTARY SCHOOL,NOBLE,K,97.67
,,,ROME CITY ELEMENTARY SCHOOL,NOBLE,K,100
,,,SOUTH SIDE ELEMENTARY SCHOOL,NOBLE,K,88
,,,WAYNE CENTER ELEM SCHOOL,NOBLE,K,93.88
,,,EAST NOBLE HIGH SCHOOL,NOBLE,12,95.51
,,,WEST NOBLE PRIMARY SCHOOL,NOBLE,1,92.18
,,,WEST NOBLE MIDDLE SCHOOL,NOBLE,7,96.97
,,,WEST NOBLE MIDDLE SCHOOL,NOBLE,6,96.6
,,,WEST NOBLE HIGH SCHOOL,NOBLE,12,97.02
,,,WEST NOBLE PRIMARY SCHOOL,NOBLE,K,89.93
,,,RISING SUN HIGH SCHOOL,OHIO,12,100
,,,OHIO COUNTY ELEMENTARY SCHOOL,OHIO,K,85.51
,,,OHIO COUNTY MIDDLE SCHOOL,OHIO,7,93.1
,,,OHIO COUNTY MIDDLE SCHOOL,OHIO,6,96.67
,,,OHIO COUNTY ELEMENTARY SCHOOL,OHIO,1,80
,,,ORLEANS ELEMENTARY SCHOOL,ORANGE,K,89.86
,,,ORLEANS ELEMENTARY SCHOOL,ORANGE,6,98.21
,,,ORLEANS JR-SR HIGH SCHOOL,ORANGE,12,94.55
,,,ORLEANS ELEMENTARY SCHOOL,ORANGE,1,100
,,,ORLEANS JR-SR HIGH SCHOOL,ORANGE,7,100
,,,PAOLI JR & SR HIGH SCHOOL,ORANGE,7,97.3
,,,THROOP ELEMENTARY SCHOOL,ORANGE,1,90.63
,,,THROOP ELEMENTARY SCHOOL,ORANGE,6,97.62
,,,THROOP ELEMENTARY SCHOOL,ORANGE,K,90
,,,PAOLI JR & SR HIGH SCHOOL,ORANGE,12,100
,,,SPRINGS VALLEY COMM HIGH SCHOOL,ORANGE,12,93.94
,,,SPRINGS VALLEY COMM HIGH SCHOOL,ORANGE,6,95.59
,,,SPRINGS VALLEY ELEMENTARY SCHOOL,ORANGE,1,95.24
,,,SPRINGS VALLEY ELEMENTARY SCHOOL,ORANGE,K,92.31
,,,SPRINGS VALLEY COMM HIGH SCHOOL,ORANGE,7,93.22
,,,OWEN VALLEY MIDDLE SCHOOL,OWEN,7,97.58
,,,GOSPORT ELEMENTARY SCHOOL,OWEN,6,93.33
,,,MCCORMICK'S CREEK ELEMENTARY SCH,OWEN,6,98.21
,,,PATRICKSBURG ELEMENTARY SCHOOL,OWEN,6,100
,,,SPENCER ELEMENTARY SCHOOL,OWEN,6,93.85
,,,OWEN VALLEY COMMUNITY HIGH SCHOOL,OWEN,12,99.11
,,,GOSPORT ELEMENTARY SCHOOL,OWEN,K,95.65
,,,MCCORMICK'S CREEK ELEMENTARY SCH,OWEN,K,95.56
,,,PATRICKSBURG ELEMENTARY SCHOOL,OWEN,K,91.3
,,,SPENCER ELEMENTARY SCHOOL,OWEN,K,98.36
,,,GOSPORT ELEMENTARY SCHOOL,OWEN,1,100
,,,MCCORMICK'S CREEK ELEMENTARY SCH,OWEN,1,93.18
,,,PATRICKSBURG ELEMENTARY SCHOOL,OWEN,1,94.44
,,,SPENCER ELEMENTARY SCHOOL,OWEN,1,90.48
,,,MONTEZUMA ELEMENTARY SCHOOL,PARKE,1,90
,,,ROSEDALE ELEMENTARY SCHOOL,PARKE,1,97.56
,,,MONTEZUMA ELEMENTARY SCHOOL,PARKE,6,100
,,,ROSEDALE ELEMENTARY SCHOOL,PARKE,6,87.8
,,,RIVERTON PARKE JR-SR HIGH SCHOOL,PARKE,7,75
,,,MONTEZUMA ELEMENTARY SCHOOL,PARKE,K,88.46
,,,ROSEDALE ELEMENTARY SCHOOL,PARKE,K,100
,,,RIVERTON PARKE JR-SR HIGH SCHOOL,PARKE,12,97.78
,,,PERRY CENTRAL JR-SR HIGH SCHOOL,PERRY,12,98.13
,,,PERRY CENTRAL ELEMENTARY SCHOOL,PERRY,K,90.48
,,,PERRY CENTRAL ELEMENTARY SCHOOL,PERRY,1,92.63
,,,PERRY CENTRAL JR-SR HIGH SCHOOL,PERRY,7,98.89
,,,PERRY CENTRAL ELEMENTARY SCHOOL,PERRY,6,98.65
,,,CANNELTON ELEMENTARY & HIGH SCHOOL,PERRY,1,90.91
,,,CANNELTON ELEMENTARY & HIGH SCHOOL,PERRY,12,94.74
,,,CANNELTON ELEMENTARY & HIGH SCHOOL,PERRY,7,87.5
,,,CANNELTON ELEMENTARY & HIGH SCHOOL,PERRY,K,81.82
,,,CANNELTON ELEMENTARY & HIGH SCHOOL,PERRY,6,93.33
,,,TELL CITY JR-SR HIGH SCHOOL,PERRY,12,98.04
,,,TELL CITY JR-SR HIGH SCHOOL,PERRY,7,98.02
,,,WILLIAM TELL ELEMENTARY SCHOOL,PERRY,1,98.25
,,,WILLIAM TELL ELEMENTARY SCHOOL,PERRY,6,97.25
,,,WILLIAM TELL ELEMENTARY SCHOOL,PERRY,K,94.23
,,,PIKE CENTRAL MIDDLE SCHOOL,PIKE,6,97.79
,,,PIKE CENTRAL HIGH SCHOOL,PIKE,12,89
,,,PIKE CENTRAL MIDDLE SCHOOL,PIKE,7,98.21
,,,PETERSBURG ELEMENTARY SCHOOL,PIKE,K,98.77
,,,WINSLOW ELEMENTARY SCHOOL,PIKE,K,97.06
,,,PETERSBURG ELEMENTARY SCHOOL,PIKE,1,97.06
,,,WINSLOW ELEMENTARY SCHOOL,PIKE,1,98.04
,,,EMMANUEL BAPTIST ACADEMY,PORTER,6,100
,,,HEBRON MIDDLE SCHOOL,PORTER,7,96.1
,,,HEBRON ELEMENTARY SCHOOL,PORTER,K,98.18
,,,HEBRON HIGH SCHOOL,PORTER,12,95.89
,,,HEBRON ELEMENTARY SCHOOL,PORTER,1,88.31
,,,HEBRON MIDDLE SCHOOL,PORTER,6,89.87
,,,BAILLY ELEMENTARY SCHOOL,PORTER,K,100
,,,BRUMMITT ELEMENTARY SCHOOL,PORTER,K,94
,,,JACKSON ELEMENTARY SCHOOL,PORTER,K,91.23
,,,LIBERTY ELEMENTARY SCHOOL,PORTER,K,95.06
,,,NEWTON YOST ELEMENTARY SCHOOL,PORTER,K,89.47
,,,LIBERTY MIDDLE SCHOOL,PORTER,7,94.19
,,,NORTHWEST INDIANA ONLINE SCHOOL,PORTER,7,76.92
,,,LIBERTY INTERMEDIATE SCHOOL,PORTER,6,90.53
,,,NORTHWEST INDIANA ONLINE SCHOOL,PORTER,6,71.43
,,,WESTCHESTER INTERMEDIATE SCHOOL,PORTER,6,94.68
,,,BAILLY ELEMENTARY SCHOOL,PORTER,1,92.73
,,,BRUMMITT ELEMENTARY SCHOOL,PORTER,1,91.55
,,,JACKSON ELEMENTARY SCHOOL,PORTER,1,94.92
,,,LIBERTY ELEMENTARY SCHOOL,PORTER,1,98.91
,,,NEWTON YOST ELEMENTARY SCHOOL,PORTER,1,95.31
,,,NORTHWEST INDIANA ONLINE SCHOOL,PORTER,1,75
,,,CHESTERTON SENIOR HIGH SCHOOL,PORTER,12,97.7
,,,NORTHWEST INDIANA ONLINE SCHOOL,PORTER,12,100
,,,KOUTS MIDDLE/HIGH SCHOOL,PORTER,12,85.42
,,,MORGAN TOWNSHIP MIDDLE/HIGH SCHOOL,PORTER,12,86.67
,,,WASHINGTON TWP MIDDLE/HIGH SCHOOL,PORTER,12,98
,,,KOUTS MIDDLE/HIGH SCHOOL,PORTER,6,90.24
,,,MORGAN TOWNSHIP MIDDLE/HIGH SCHOOL,PORTER,6,92.19
,,,WASHINGTON TWP MIDDLE/HIGH SCHOOL,PORTER,6,98.53
,,,KOUTS MIDDLE/HIGH SCHOOL,PORTER,7,90.91
,,,MORGAN TOWNSHIP MIDDLE/HIGH SCHOOL,PORTER,7,91.67
,,,WASHINGTON TWP MIDDLE/HIGH SCHOOL,PORTER,7,98.44
,,,KOUTS ELEMENTARY SCHOOL,PORTER,K,87.23
,,,MORGAN TOWNSHIP ELEMENTARY SCHOOL,PORTER,K,93.02
,,,WASHINGTON TWP ELEMENTARY SCHOOL,PORTER,K,85.71
,,,KOUTS ELEMENTARY SCHOOL,PORTER,1,97.73
,,,MORGAN TOWNSHIP ELEMENTARY SCHOOL,PORTER,1,89.8
,,,WASHINGTON TWP ELEMENTARY SCHOOL,PORTER,1,93.48
,,,BOONE GROVE MIDDLE SCHOOL,PORTER,7,93.07
,,,PORTER LAKES ELEMENTARY SCHOOL,PORTER,1,88.18
,,,BOONE GROVE HIGH SCHOOL,PORTER,12,94.96
,,,BOONE GROVE MIDDLE SCHOOL,PORTER,6,94.9
,,,PORTER LAKES ELEMENTARY SCHOOL,PORTER,K,78.51
,,,JOHN SIMATOVICH ELEMENTARY SCHOOL,PORTER,K,76.09
,,,UNION CENTER ELEMENTARY SCHOOL,PORTER,K,85.11
,,,UNION TOWNSHIP MIDDLE SCHOOL,PORTER,7,93.52
,,,JOHN SIMATOVICH ELEMENTARY SCHOOL,PORTER,1,91.49
,,,UNION CENTER ELEMENTARY SCHOOL,PORTER,1,86.44
,,,WHEELER HIGH SCHOOL,PORTER,12,94.87
,,,UNION TOWNSHIP MIDDLE SCHOOL,PORTER,6,88.89
,,,CENTRAL ELEMENTARY SCHOOL - PORTAGE TOWNSHIP SCHOOLS,PORTER,K,91.67
,,,ETHEL R JONES ELEMENTARY SCHOOL,PORTER,K,89.13
,,,GEORGE L MYERS ELEMENTARY SCHOOL,PORTER,K,96.97
,,,PAUL SAYLOR ELEMENTARY SCHOOL,PORTER,K,96.88
,,,ROWENA KYLE ELEMENTARY SCHOOL,PORTER,K,90.48
,,,SOUTH HAVEN ELEMENTARY SCHOOL,PORTER,K,94.59
,,,WALLACE AYLESWORTH ELEMENTARY,PORTER,K,97.06
,,,WILLIAM FEGELY MIDDLE SCHOOL,PORTER,6,92.73
,,,WILLOWCREEK MIDDLE SCHOOL,PORTER,6,94.06
,,,CENTRAL ELEMENTARY SCHOOL - PORTAGE TOWNSHIP SCHOOLS,PORTER,1,89.47
,,,CRISMAN ELEMENTARY SCHOOL,PORTER,1,92.45
,,,ETHEL R JONES ELEMENTARY SCHOOL,PORTER,1,100
,,,GEORGE L MYERS ELEMENTARY SCHOOL,PORTER,1,94.34
,,,PAUL SAYLOR ELEMENTARY SCHOOL,PORTER,1,95.35
,,,ROWENA KYLE ELEMENTARY SCHOOL,PORTER,1,91.75
,,,SOUTH HAVEN ELEMENTARY SCHOOL,PORTER,1,95.45
,,,WALLACE AYLESWORTH ELEMENTARY,PORTER,1,100
,,,WILLIAM FEGELY MIDDLE SCHOOL,PORTER,7,97.54
,,,WILLOWCREEK MIDDLE SCHOOL,PORTER,7,98.02
,,,PORTAGE HIGH SCHOOL,PORTER,12,90.1
,,,BENJAMIN FRANKLIN MIDDLE SCHOOL,PORTER,6,94.05
,,,THOMAS JEFFERSON MIDDLE SCHOOL,PORTER,6,94.79
,,,BENJAMIN FRANKLIN MIDDLE SCHOOL,PORTER,7,93.75
,,,THOMAS JEFFERSON MIDDLE SCHOOL,PORTER,7,93.69
,,,CENTRAL ELEMENTARY SCHOOL - VALPARAISO COMMUNITY SCHOOLS,PORTER,K,91.3
,,,COOKS CORNERS ELEMENTARY SCHOOL,PORTER,K,91.57
,,,FLINT LAKE ELEMENTARY SCHOOL,PORTER,K,96.47
,,,HEAVILIN ELEMENTARY SCHOOL,PORTER,K,88.06
,,,MEMORIAL ELEMENTARY SCHOOL,PORTER,K,91.67
,,,NORTHVIEW ELEMENTARY SCHOOL,PORTER,K,94.87
,,,PARKVIEW ELEMENTARY SCHOOL,PORTER,K,97.22
,,,THOMAS JEFFERSON ELEMENTARY SCHOOL,PORTER,K,87.8
,,,VALPARAISO HIGH SCHOOL,PORTER,12,95.42
,,,CENTRAL ELEMENTARY SCHOOL - VALPARAISO COMMUNITY SCHOOLS,PORTER,1,86.96
,,,COOKS CORNERS ELEMENTARY SCHOOL,PORTER,1,92.21
,,,FLINT LAKE ELEMENTARY SCHOOL,PORTER,1,90.14
,,,HEAVILIN ELEMENTARY SCHOOL,PORTER,1,94.74
,,,MEMORIAL ELEMENTARY SCHOOL,PORTER,1,92.54
,,,NORTHVIEW ELEMENTARY SCHOOL,PORTER,1,89.58
,,,PARKVIEW ELEMENTARY SCHOOL,PORTER,1,95.83
,,,THOMAS JEFFERSON ELEMENTARY SCHOOL,PORTER,1,96.3
,,,MOUNT VERNON JR HIGH SCHOOL,POSEY,6,98.3
,,,FARMERSVILLE ELEMENTARY SCHOOL,POSEY,1,95.35
,,,MARRS ELEMENTARY SCHOOL,POSEY,1,100
,,,WEST ELEMENTARY SCHOOL,POSEY,1,95.16
,,,MOUNT VERNON JR HIGH SCHOOL,POSEY,7,98.14
,,,MOUNT VERNON HIGH SCHOOL,POSEY,12,90.58
,,,FARMERSVILLE ELEMENTARY SCHOOL,POSEY,K,79.07
,,,MARRS ELEMENTARY SCHOOL,POSEY,K,93.18
,,,WEST ELEMENTARY SCHOOL,POSEY,K,81.48
,,,NORTH ELEMENTARY SCHOOL,POSEY,K,85.42
,,,SOUTH TERRACE ELEMENTARY,POSEY,K,97.73
,,,NORTH ELEMENTARY SCHOOL,POSEY,6,100
,,,SOUTH TERRACE ELEMENTARY,POSEY,6,100
,,,NORTH POSEY HIGH SCHOOL,POSEY,12,95.37
,,,NORTH POSEY JUNIOR HIGH SCHOOL,POSEY,7,99.12
,,,NORTH ELEMENTARY SCHOOL,POSEY,1,97.44
,,,SOUTH TERRACE ELEMENTARY,POSEY,1,100
,,,EASTERN PULASKI ELEMENTARY SCHOOL,PULASKI,1,97.47
,,,WINAMAC COMMUNITY MIDDLE SCHOOL,PULASKI,7,93.02
,,,WINAMAC COMMUNITY MIDDLE SCHOOL,PULASKI,6,96.51
,,,EASTERN PULASKI ELEMENTARY SCHOOL,PULASKI,K,92.86
,,,WINAMAC COMMUNITY HIGH SCHOOL,PULASKI,12,98.84
,,,WEST CENTRAL ELEMENTARY SCHOOL,PULASKI,1,78.05
,,,WEST CENTRAL ELEMENTARY SCHOOL,PULASKI,6,90.77
,,,WEST CENTRAL ELEMENTARY SCHOOL,PULASKI,K,84.62
,,,WEST CENTRAL MIDDLE SCHOOL,PULASKI,7,84.38
,,,WEST CENTRAL SENIOR HIGH SCHOOL,PULASKI,12,81.25
,,,BAINBRIDGE ELEMENTARY SCHOOL,PUTNAM,K,83.33
,,,ROACHDALE ELEMENTARY SCHOOL,PUTNAM,K,91.3
,,,BAINBRIDGE ELEMENTARY SCHOOL,PUTNAM,1,94.12
,,,ROACHDALE ELEMENTARY SCHOOL,PUTNAM,1,90
,,,NORTH PUTNAM MIDDLE SCHOOL,PUTNAM,7,90.63
,,,NORTH PUTNAM MIDDLE SCHOOL,PUTNAM,6,95.96
,,,NORTH PUTNAM SR HIGH SCHOOL,PUTNAM,12,92.68
,,,CLOVERDALE ELEMENTARY SCHOOL,PUTNAM,1,94.52
,,,CLOVERDALE ELEMENTARY SCHOOL,PUTNAM,K,93.59
,,,CLOVERDALE MIDDLE SCHOOL,PUTNAM,6,96.88
,,,CLOVERDALE HIGH SCHOOL,PUTNAM,12,94.92
,,,CLOVERDALE MIDDLE SCHOOL,PUTNAM,7,98.48
,,,INDIANA DIGITAL ALTERNATIVE SCHOOL,RANDOLPH,12,93.53
,,,INDIANA DIGITAL JR AND HIGH SCHOOL,RANDOLPH,12,95.06
,,,UNION JUNIOR & HIGH SCHOOL,RANDOLPH,12,87.5
,,,INDIANA DIGITAL ELEMENTARY,RANDOLPH,6,84.04
,,,UNION ELEMENTARY SCHOOL,RANDOLPH,6,100
,,,INDIANA DIGITAL ELEMENTARY,RANDOLPH,1,69.7
,,,UNION ELEMENTARY SCHOOL,RANDOLPH,1,86.67
,,,UNION JUNIOR & HIGH SCHOOL,RANDOLPH,7,100
,,,UNION ELEMENTARY SCHOOL,RANDOLPH,K,100
,,,RANDOLPH SOUTHERN JR-SR HIGH SCH,RANDOLPH,12,96.43
,,,RANDOLPH SOUTHERN ELEMENTARY SCH,RANDOLPH,1,100
,,,RANDOLPH SOUTHERN ELEMENTARY SCH,RANDOLPH,K,90.91
,,,RANDOLPH SOUTHERN JR-SR HIGH SCH,RANDOLPH,7,100
,,,RANDOLPH SOUTHERN ELEMENTARY SCH,RANDOLPH,6,100
,,,MONROE CENTRAL JR-SR HIGH SCHOOL,RANDOLPH,12,97.75
,,,MONROE CENTRAL ELEMENTARY SCHOOL,RANDOLPH,K,81.48
,,,MONROE CENTRAL ELEMENTARY SCHOOL,RANDOLPH,1,89.13
,,,MONROE CENTRAL ELEMENTARY SCHOOL,RANDOLPH,6,91.21
,,,MONROE CENTRAL JR-SR HIGH SCHOOL,RANDOLPH,7,100
,,,LEE L DRIVER MIDDLE SCHOOL,RANDOLPH,6,96.23
,,,WINCHESTER COMMUNITY HIGH SCHOOL,RANDOLPH,12,97.12
,,,DEERFIELD ELEMENTARY SCHOOL,RANDOLPH,K,88
,,,O R BAKER ELEMENTARY SCHOOL,RANDOLPH,K,94.12
,,,DEERFIELD ELEMENTARY SCHOOL,RANDOLPH,1,100
,,,O R BAKER ELEMENTARY SCHOOL,RANDOLPH,1,96.88
,,,LEE L DRIVER MIDDLE SCHOOL,RANDOLPH,7,92.86
,,,UNION CITY COMMUNITY JR/SR HIGH,RANDOLPH,7,86.59
,,,NORTH SIDE ELEMENTARY SCHOOL,RANDOLPH,1,82.46
,,,NORTH SIDE ELEMENTARY SCHOOL,RANDOLPH,K,81.54
,,,UNION CITY COMMUNITY JR/SR HIGH,RANDOLPH,12,91.18
,,,NORTH SIDE ELEMENTARY SCHOOL,RANDOLPH,6,90.63
,,,SOUTH RIPLEY HIGH SCHOOL,RIPLEY,12,97.22
,,,SOUTH RIPLEY ELEMENTARY SCHOOL,RIPLEY,K,97.5
,,,SOUTH RIPLEY JUNIOR HIGH SCHOOL,RIPLEY,7,97.26
,,,SOUTH RIPLEY ELEMENTARY SCHOOL,RIPLEY,6,93.75
,,,SOUTH RIPLEY ELEMENTARY SCHOOL,RIPLEY,1,96.34
,,,BATESVILLE MIDDLE SCHOOL,RIPLEY,6,92.44
,,,BATESVILLE MIDDLE SCHOOL,RIPLEY,7,91.23
,,,BATESVILLE HIGH SCHOOL,RIPLEY,12,91.5
,,,BATESVILLE PRIMARY SCHOOL,RIPLEY,1,95.54
,,,BATESVILLE PRIMARY SCHOOL,RIPLEY,K,91.14
,,,JAC-CEN-DEL ELEMENTARY SCHOOL,RIPLEY,6,83.33
,,,JAC-CEN-DEL MS/HS,RIPLEY,12,85.9
,,,JAC-CEN-DEL ELEMENTARY SCHOOL,RIPLEY,K,86.79
,,,JAC-CEN-DEL ELEMENTARY SCHOOL,RIPLEY,1,95.08
,,,JAC-CEN-DEL MS/HS,RIPLEY,7,95.12
,,,MILAN ELEMENTARY SCHOOL,RIPLEY,1,88.24
,,,MILAN MIDDLE SCHOOL,RIPLEY,7,100
,,,MILAN HIGH SCHOOL,RIPLEY,12,100
,,,MILAN INTERMEDIATE SCHOOL,RIPLEY,6,97.47
,,,MILAN ELEMENTARY SCHOOL,RIPLEY,K,86
,,,ARLINGTON ELEMENTARY SCHOOL,RUSH,1,92.86
,,,MILROY ELEMENTARY SCHOOL,RUSH,1,100
,,,RUSHVILLE ELEMENTARY SCHOOL,RUSH,1,94.05
,,,RUSHVILLE CONSOLIDATED HIGH SCHOOL,RUSH,12,92.41
,,,ARLINGTON ELEMENTARY SCHOOL,RUSH,6,100
,,,MILROY ELEMENTARY SCHOOL,RUSH,6,89.47
,,,RUSHVILLE ELEMENTARY SCHOOL,RUSH,6,100
,,,ARLINGTON ELEMENTARY SCHOOL,RUSH,K,100
,,,MILROY ELEMENTARY SCHOOL,RUSH,K,88.89
,,,RUSHVILLE ELEMENTARY SCHOOL,RUSH,K,97.25
,,,BENJAMIN RUSH MIDDLE SCHOOL,RUSH,7,92.95
,,,NORTH LIBERTY SCHOOL,ST. JOSEPH,K,92.98
,,,WALKERTON ELEMENTARY SCHOOL,ST. JOSEPH,K,91.25
,,,HAROLD C UREY MIDDLE SCHOOL,ST. JOSEPH,7,95.83
,,,JOHN GLENN HIGH SCHOOL,ST. JOSEPH,12,97.65
,,,NORTH LIBERTY SCHOOL,ST. JOSEPH,6,93.85
,,,WALKERTON ELEMENTARY SCHOOL,ST. JOSEPH,6,95.4
,,,NORTH LIBERTY SCHOOL,ST. JOSEPH,1,93.75
,,,WALKERTON ELEMENTARY SCHOOL,ST. JOSEPH,1,83.33
,,,DISCOVERY MIDDLE SCHOOL,ST. JOSEPH,7,97.72
,,,SCHMUCKER MIDDLE SCHOOL,ST. JOSEPH,7,97.53
,,,VIRGIL I GRISSOM MIDDLE SCHOOL,ST. JOSEPH,7,97.7
,,,BITTERSWEET ELEMENTARY SCHOOL,ST. JOSEPH,K,96.67
,,,ELM ROAD ELEMENTARY SCHOOL,ST. JOSEPH,K,93.85
,,,ELSIE ROGERS ELEMENTARY SCHOOL,ST. JOSEPH,K,97.06
,,,HORIZON ELEMENTARY SCHOOL,ST. JOSEPH,K,93.68
,,,MADISON ELEMENTARY SCHOOL,ST. JOSEPH,K,100
,,,MARY FRANK HARRIS ELEMENTARY SCH,ST. JOSEPH,K,100
,,,MEADOW'S EDGE ELEMENTARY SCHOOL,ST. JOSEPH,K,97.92
,,,MORAN ELEMENTARY SCHOOL,ST. JOSEPH,K,94.23
,,,NORTHPOINT ELEMENTARY SCHOOL,ST. JOSEPH,K,100
,,,PRAIRIE VISTA ELEMENTARY SCHOOL,ST. JOSEPH,K,98.65
,,,WALT DISNEY ELEMENTARY SCHOOL,ST. JOSEPH,K,95
,,,DISCOVERY MIDDLE SCHOOL,ST. JOSEPH,6,95.53
,,,SCHMUCKER MIDDLE SCHOOL,ST. JOSEPH,6,96.77
,,,VIRGIL I GRISSOM MIDDLE SCHOOL,ST. JOSEPH,6,97.5
,,,PENN HIGH SCHOOL,ST. JOSEPH,12,96.18
,,,BITTERSWEET ELEMENTARY SCHOOL,ST. JOSEPH,1,100
,,,ELM ROAD ELEMENTARY SCHOOL,ST. JOSEPH,1,97.01
,,,ELSIE ROGERS ELEMENTARY SCHOOL,ST. JOSEPH,1,97.14
,,,HORIZON ELEMENTARY SCHOOL,ST. JOSEPH,1,94.12
,,,MADISON ELEMENTARY SCHOOL,ST. JOSEPH,1,100
,,,MARY FRANK HARRIS ELEMENTARY SCH,ST. JOSEPH,1,100
,,,MEADOW'S EDGE ELEMENTARY SCHOOL,ST. JOSEPH,1,98.04
,,,MORAN ELEMENTARY SCHOOL,ST. JOSEPH,1,95.31
,,,NORTHPOINT ELEMENTARY SCHOOL,ST. JOSEPH,1,98.99
,,,PRAIRIE VISTA ELEMENTARY SCHOOL,ST. JOSEPH,1,97.62
,,,WALT DISNEY ELEMENTARY SCHOOL,ST. JOSEPH,1,96.2
,,,BATTELL ELEMENTARY SCHOOL,ST. JOSEPH,1,100
,,,BEIGER ELEMENTARY SCHOOL,ST. JOSEPH,1,97.92
,,,EMMONS ELEMENTARY SCHOOL,ST. JOSEPH,1,91.67
,,,FRED J HUMS ELEMENTARY SCHOOL,ST. JOSEPH,1,100
,,,LASALLE ELEMENTARY SCHOOL,ST. JOSEPH,1,97.62
,,,LIBERTY ELEMENTARY SCHOOL,ST. JOSEPH,1,92.86
,,,TWIN BRANCH ELEMENTARY SCHOOL,ST. JOSEPH,1,92.86
,,,BATTELL ELEMENTARY SCHOOL,ST. JOSEPH,K,100
,,,BEIGER ELEMENTARY SCHOOL,ST. JOSEPH,K,98.04
,,,EMMONS ELEMENTARY SCHOOL,ST. JOSEPH,K,96.97
,,,FRED J HUMS ELEMENTARY SCHOOL,ST. JOSEPH,K,96.77
,,,LASALLE ELEMENTARY SCHOOL,ST. JOSEPH,K,100
,,,LIBERTY ELEMENTARY SCHOOL,ST. JOSEPH,K,100
,,,TWIN BRANCH ELEMENTARY SCHOOL,ST. JOSEPH,K,91.18
,,,BATTELL ELEMENTARY SCHOOL,ST. JOSEPH,6,97.37
,,,BEIGER ELEMENTARY SCHOOL,ST. JOSEPH,6,94.12
,,,EMMONS ELEMENTARY SCHOOL,ST. JOSEPH,6,95
,,,FRED J HUMS ELEMENTARY SCHOOL,ST. JOSEPH,6,97.87
,,,LASALLE ELEMENTARY SCHOOL,ST. JOSEPH,6,94.34
,,,LIBERTY ELEMENTARY SCHOOL,ST. JOSEPH,6,88.46
,,,TWIN BRANCH ELEMENTARY SCHOOL,ST. JOSEPH,6,100
,,,JOHN J YOUNG MIDDLE SCHOOL,ST. JOSEPH,7,95.71
,,,MISHAWAKA HIGH SCHOOL,ST. JOSEPH,12,99.55
,,,ADAMS HIGH SCHOOL,ST. JOSEPH,12,98.88
,,,RILEY HIGH SCHOOL,ST. JOSEPH,12,97.69
,,,RISE UP ACADEMY AT EGGLESTON,ST. JOSEPH,12,97.62
,,,SOUTH BEND VIRTUAL SCHOOL,ST. JOSEPH,12,97.06
,,,WASHINGTON HIGH SCHOOL,ST. JOSEPH,12,98.72
,,,DICKINSON ACADEMY,ST. JOSEPH,7,100
,,,EDISON MIDDLE SCHOOL,ST. JOSEPH,7,98.51
,,,JACKSON MIDDLE SCHOOL,ST. JOSEPH,7,99.08
,,,JEFFERSON TRADITIONAL SCHOOL,ST. JOSEPH,7,100
,,,LASALLE ACADEMY,ST. JOSEPH,7,95.8
,,,NAVARRE MIDDLE SCHOOL,ST. JOSEPH,7,97.73
