Facility Number,Facility Address,School Type,School District or Name,County,Age Group,MMR Vaccination Rate
,,,EEL RIVER ELEMENTARY SCHOOL,ALLEN,K,94.74
,,,HICKORY CENTER ELEMENTARY SCHOOL,ALLEN,K,87.67
,,,HUNTERTOWN ELEMENTARY SCHOOL,ALLEN,K,96.25
,,,OAK VIEW ELEMENTARY SCHOOL,ALLEN,K,94.29
,,,PERRY HILL ELEMENTARY SCHOOL,ALLEN,K,87.32
,,,CARROLL MIDDLE SCHOOL,ALLEN,7,93.71
,,,MAPLE CREEK MIDDLE SCHOOL,ALLEN,7,95.69
,,,ARCOLA SCHOOL,ALLEN,1,97.14
,,,ASPEN MEADOW ELEMENTARY SCHOOL,ALLEN,1,96.94
,,,CEDAR CANYON ELEMENTARY SCHOOL,ALLEN,1,95.24
,,,EEL RIVER ELEMENTARY SCHOOL,ALLEN,1,97.3
,,,HICKORY CENTER ELEMENTARY SCHOOL,ALLEN,1,95.45
,,,HUNTERTOWN ELEMENTARY SCHOOL,ALLEN,1,94.79
,,,OAK VIEW ELEMENTARY SCHOOL,ALLEN,1,100
,,,PERRY HILL ELEMENTARY SCHOOL,ALLEN,1,92.68
,,,CARROLL MIDDLE SCHOOL,ALLEN,6,96.6
,,,MAPLE CREEK MIDDLE SCHOOL,ALLEN,6,92.99
,,,BLACKHAWK MIDDLE SCHOOL,ALLEN,7,96.01
,,,FORT WAYNE VIRTUAL ACADEMY,ALLEN,7,94.44
,,,JEFF H TOWLES INTERMEDIATE SCHOOL,ALLEN,7,93.98
,,,JEFFERSON MIDDLE SCHOOL,ALLEN,7,97.73
,,,KEKIONGA MIDDLE SCHOOL,ALLEN,7,96.55
,,,LAKESIDE MIDDLE SCHOOL,ALLEN,7,95.18
,,,LANE MIDDLE SCHOOL,ALLEN,7,94.47
,,,MEMORIAL PARK MIDDLE SCHOOL,ALLEN,7,97.18
,,,MIAMI MIDDLE SCHOOL,ALLEN,7,97.09
,,,NORTHWOOD MIDDLE SCHOOL,ALLEN,7,96.63
,,,PORTAGE MIDDLE SCHOOL,ALLEN,7,94.35
